aX,aY,aZ,gX,gY,gZ
0.828,-0.989,0.807,8.606,-92.773,69.946
0.827,-0.989,0.916,-1.465,-91.980,83.862
0.785,-0.960,0.950,-20.264,-99.976,96.802
0.737,-0.809,1.062,-41.321,-107.422,105.164
0.699,-0.660,1.237,-57.190,-113.037,111.511
0.641,-0.573,1.380,-65.918,-117.371,114.258
0.580,-0.522,1.508,-71.411,-116.272,113.770
0.583,-0.460,1.705,-75.073,-110.840,110.107
0.521,-0.399,1.725,-70.679,-99.731,106.384
0.563,-0.377,1.851,-65.247,-68.787,106.628
0.469,-0.348,1.844,-54.871,-43.152,105.896
0.461,-0.289,1.853,-45.654,-9.338,105.286
0.402,-0.209,1.773,-34.241,22.095,104.370
0.325,-0.130,1.680,-21.179,44.128,101.135
0.262,-0.046,1.619,-16.296,66.833,94.177
0.214,0.012,1.521,-16.052,83.374,84.900
0.172,0.027,1.440,-22.217,94.910,76.111
0.140,0.032,1.395,-35.828,101.563,68.176
0.080,0.045,1.377,-56.885,104.675,60.181
0.009,0.045,1.326,-80.261,108.582,49.744
-0.014,0.019,1.205,-100.281,114.319,36.377
-0.023,-0.018,1.040,-115.845,119.690,24.109
-0.075,-0.043,0.920,-126.648,119.507,16.052
-0.151,-0.036,0.894,-133.484,111.511,7.935
-0.165,-0.000,0.859,-137.817,97.290,-4.028
-0.169,0.007,0.873,-141.907,85.388,-20.081
-0.194,-0.002,0.897,-146.362,78.064,-39.734
-0.181,-0.056,0.866,-146.973,74.646,-60.486
-0.196,-0.117,0.833,-144.165,72.571,-78.674
-0.241,-0.167,0.814,-141.296,66.406,-93.506
-0.258,-0.248,0.768,-136.597,58.105,-104.126
-0.326,-0.318,0.748,-132.324,50.049,-111.450
-0.369,-0.369,0.727,-133.301,43.640,-118.042
-0.387,-0.401,0.645,-144.043,38.086,-123.779
-0.395,-0.415,0.475,-166.199,26.855,-129.944
-0.369,-0.427,0.309,-193.420,10.315,-135.315
-0.375,-0.483,0.152,-213.501,-16.357,-141.174
-0.357,-0.540,0.007,-216.797,-48.462,-148.071
-0.352,-0.608,-0.062,-204.529,-77.942,-155.823
-0.349,-0.689,-0.143,-184.692,-100.464,-163.879
-0.350,-0.763,-0.187,-165.405,-116.577,-173.157
-0.337,-0.893,-0.274,-147.278,-131.409,-183.167
-0.189,-1.048,-0.390,-130.554,-148.865,-190.918
0.046,-1.266,-0.406,-110.962,-166.870,-187.317
0.292,-1.476,-0.403,-78.918,-179.260,-171.021
0.577,-1.587,-0.426,-37.170,-184.082,-145.447
0.743,-1.680,-0.458,2.380,-191.040,-113.220
0.925,-1.691,-0.341,35.828,-199.219,-74.280
1.035,-1.658,-0.303,62.927,-211.792,-39.001
1.107,-1.693,-0.179,80.505,-223.755,-9.888
1.148,-1.710,0.057,87.158,-236.755,25.879
1.048,-1.629,0.348,87.036,-259.460,68.542
0.866,-1.431,0.793,86.853,-279.968,110.535
0.749,-1.216,1.186,100.159,-286.011,145.630
0.637,-1.108,1.490,126.770,-271.667,171.936
0.503,-1.059,1.741,154.602,-243.591,190.735
0.369,-0.992,1.900,175.842,-214.539,205.933
0.240,-0.844,2.091,183.716,-191.772,221.375
0.126,-0.700,2.232,176.086,-177.612,236.206
0.003,-0.489,2.424,156.006,-169.922,250.793
-0.121,-0.268,2.636,131.042,-167.297,259.033
-0.218,-0.149,2.886,110.352,-150.513,250.671
-0.253,-0.020,2.976,93.933,-114.624,225.525
-0.166,0.156,2.966,75.012,-75.195,193.115
-0.103,0.260,2.899,47.424,-42.419,171.082
-0.083,0.374,2.829,8.972,-20.325,162.781
-0.130,0.469,2.794,-29.724,-5.615,160.583
-0.188,0.552,2.768,-64.270,12.756,157.471
-0.234,0.624,2.711,-94.666,39.551,149.902
-0.288,0.657,2.604,-121.216,71.777,139.526
-0.387,0.620,2.468,-143.982,103.516,128.479
-0.539,0.632,2.268,-167.969,125.000,112.976
-0.701,0.622,2.034,-192.505,138.367,92.346
-0.828,0.555,1.886,-219.360,153.259,69.092
-0.933,0.492,1.710,-248.169,161.194,45.044
-0.978,0.428,1.566,-273.499,160.950,22.400
-1.058,0.392,1.458,-294.922,154.968,2.563
-1.135,0.386,1.273,-313.354,141.968,-18.005
-1.211,0.462,1.032,-327.026,121.826,-47.119
-1.308,0.479,0.822,-333.130,91.064,-86.182
-1.353,0.423,0.655,-327.759,52.063,-133.667
-1.359,0.376,0.554,-307.007,12.207,-183.228
-1.393,0.224,0.528,-271.301,-21.423,-227.417
-1.382,0.074,0.470,-234.253,-45.410,-266.907
-1.376,-0.121,0.317,-206.238,-63.660,-303.162
-1.377,-0.349,0.143,-187.866,-85.632,-334.106
-1.296,-0.554,-0.051,-175.659,-113.464,-355.103
-1.193,-0.783,-0.169,-164.612,-141.113,-358.765
-1.069,-0.996,-0.261,-156.555,-170.349,-344.727
-0.956,-1.230,-0.205,-151.306,-204.895,-317.383
-0.851,-1.414,-0.159,-139.771,-233.704,-285.583
-0.722,-1.534,-0.139,-118.896,-247.925,-253.357
-0.607,-1.574,-0.145,-93.506,-255.859,-218.811
-0.480,-1.543,-0.169,-66.895,-263.428,-181.519
-0.396,-1.475,-0.162,-41.931,-270.020,-145.264
-0.394,-1.358,-0.136,-18.738,-280.151,-113.770
-0.349,-1.243,-0.080,5.066,-290.344,-88.196
-0.260,-1.184,0.064,28.870,-298.706,-69.763
-0.137,-1.221,0.224,50.720,-305.420,-53.040
0.047,-1.339,0.379,69.702,-310.486,-30.579
0.192,-1.372,0.569,82.642,-319.214,0.366
0.238,-1.420,0.782,99.304,-329.163,42.053
0.216,-1.426,0.898,130.127,-327.881,85.754
0.140,-1.417,0.991,167.847,-308.655,122.314
-0.007,-1.373,1.091,200.989,-285.400,158.386
-0.240,-1.354,1.272,224.792,-273.254,197.083
-0.373,-1.401,1.505,240.051,-267.395,235.535
-0.488,-1.362,1.793,243.896,-268.250,273.315
-0.617,-1.339,2.104,240.295,-276.855,315.491
-0.776,-1.353,2.350,238.525,-283.203,357.422
-0.958,-1.329,2.557,238.708,-275.208,393.250
-1.134,-1.360,2.810,240.967,-252.258,424.805
-1.347,-1.387,3.065,243.591,-218.506,448.730
-1.611,-1.323,3.245,236.328,-177.795,451.355
-1.694,-1.241,3.293,211.670,-126.160,431.030
-1.608,-1.125,3.339,170.044,-71.838,402.710
-1.507,-1.079,3.359,117.920,-19.531,382.935
-1.419,-1.004,3.460,64.087,31.250,370.483
-1.296,-0.939,3.451,11.353,84.106,354.858

-1.302,-0.917,3.116,-106.262,191.650,318.909
-1.378,-0.913,2.837,-163.635,230.530,302.002
-1.466,-0.829,2.515,-215.332,258.728,284.912
-1.521,-0.757,2.229,-255.066,280.029,264.648
-1.589,-0.667,1.967,-290.161,295.593,240.417
-1.680,-0.488,1.700,-323.181,302.429,206.604
-1.780,-0.359,1.484,-351.562,302.063,166.443
-1.802,-0.073,1.171,-384.338,290.466,118.896
-1.848,0.222,0.875,-417.114,264.771,63.232
-1.851,0.301,0.696,-440.002,225.220,-0.183
-1.799,0.288,0.661,-448.364,178.772,-70.740
-1.649,0.151,0.615,-440.552,142.517,-133.301
-1.511,-0.008,0.538,-427.307,124.817,-182.617
-1.483,-0.083,0.362,-408.081,116.577,-221.130
-1.481,-0.179,0.115,-383.423,112.305,-249.634
-1.447,-0.263,-0.204,-364.807,102.722,-270.081
-1.364,-0.340,-0.477,-358.765,74.036,-282.654
-1.268,-0.482,-0.577,-355.286,21.362,-287.354
-1.154,-0.589,-0.601,-344.543,-46.997,-288.635
-1.052,-0.671,-0.538,-326.599,-116.272,-289.551
-1.008,-0.728,-0.445,-302.185,-171.265,-288.391
-0.946,-0.754,-0.417,-273.621,-210.205,-288.635
-0.848,-0.828,-0.400,-241.882,-230.896,-288.879
-0.840,-0.895,-0.395,-205.383,-241.638,-284.973
-0.792,-1.006,-0.362,-164.368,-250.916,-274.658
-0.657,-1.234,-0.209,-119.141,-267.212,-256.165
-0.560,-1.309,-0.154,-72.510,-292.847,-239.258
-0.438,-1.321,-0.098,-28.198,-315.735,-223.511
-0.401,-1.413,0.064,13.428,-333.740,-195.984
-0.341,-1.448,0.219,47.058,-348.389,-157.654
-0.237,-1.453,0.400,77.942,-356.934,-117.737
-0.188,-1.514,0.568,107.971,-358.337,-76.233
-0.106,-1.609,0.719,131.042,-358.948,-35.400
0.015,-1.672,0.955,143.433,-365.356,10.986
-0.028,-1.660,1.104,145.203,-383.423,68.604
-0.213,-1.589,1.271,145.264,-402.771,127.991
-0.465,-1.518,1.495,156.677,-406.738,185.120
-0.691,-1.469,1.585,190.613,-390.198,239.441
-0.913,-1.508,1.570,236.694,-352.539,284.546
-1.075,-1.583,1.710,272.095,-298.523,315.002
-1.123,-1.643,1.983,293.457,-252.502,337.158
-1.148,-1.737,2.277,306.213,-242.065,364.441
-1.227,-1.801,2.533,310.242,-270.142,399.475
-1.285,-1.788,2.762,301.575,-295.898,437.744
-1.323,-1.770,3.019,281.738,-273.926,471.497
