aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.397489,0.064919,0.402756,0.239212,0.509415,0.000000,0.000002,0.486782,0.117039,0.500654,0.228607,0.734589,0.000000,0.000006,0.618129,0.051279,0.620253,0.533279,0.760666,0.000000,0.000001,0.496118,0.017419,0.496424,0.459915,0.540955,0.000000,0.000000,0.494893,0.035496,0.496164,0.413315,0.551224,0.000000,0.000001,0.491686,0.036691,0.493053,0.420883,0.559433,0.000000,0.000001
0.366589,0.067716,0.372791,0.229813,0.506638,0.000000,0.000002,0.500318,0.096775,0.509592,0.305786,0.657928,0.000000,0.000005,0.604206,0.066589,0.607864,0.435257,0.706818,0.000000,0.000003,0.487663,0.019768,0.488063,0.454025,0.539291,0.000000,0.000000,0.500828,0.032321,0.501869,0.420288,0.559860,0.000000,0.000001,0.498806,0.036617,0.500148,0.439682,0.551132,0.000000,0.000001
0.284042,0.055264,0.289368,0.182266,0.381866,0.000000,0.000002,0.493893,0.142764,0.514113,0.250809,0.743423,0.000000,0.000021,0.545379,0.094818,0.553560,0.388657,0.739761,0.000000,0.000009,0.479990,0.025614,0.480673,0.429901,0.524643,0.000000,0.000000,0.495484,0.053516,0.498366,0.411545,0.588440,0.000000,0.000003,0.495246,0.040291,0.496882,0.420044,0.543396,0.000000,0.000002
0.283257,0.063678,0.290326,0.153259,0.391449,0.000000,0.000003,0.489407,0.136538,0.508097,0.207275,0.696060,0.000000,0.000018,0.565465,0.082648,0.571473,0.409149,0.730606,0.000000,0.000006,0.482853,0.023612,0.483430,0.436462,0.531937,0.000000,0.000000,0.500793,0.050166,0.503299,0.422028,0.571793,0.000000,0.000002,0.498517,0.045932,0.500629,0.411285,0.556870,0.000000,0.000002
0.311713,0.080412,0.321918,0.122086,0.409027,0.000000,0.000005,0.480472,0.143446,0.501428,0.278076,0.775177,0.000000,0.000018,0.575440,0.094194,0.583099,0.319153,0.737808,0.000000,0.000006,0.486549,0.024719,0.487177,0.434631,0.532928,0.000000,0.000000,0.498891,0.036224,0.500204,0.438995,0.550110,0.000000,0.000001,0.500255,0.042925,0.502093,0.417236,0.550308,0.000000,0.000002
0.340961,0.048843,0.344442,0.255325,0.461075,0.000000,0.000002,0.479682,0.148081,0.502019,0.216553,0.932556,0.000000,0.000007,0.589296,0.110231,0.599517,0.406662,0.909958,0.000000,0.000003,0.489718,0.028073,0.490522,0.409988,0.559143,0.000000,0.000000,0.497395,0.035713,0.498676,0.428375,0.575668,0.000000,0.000001,0.504929,0.035078,0.506146,0.444138,0.583374,0.000000,0.000001
0.315066,0.070614,0.322882,0.142654,0.421844,0.000000,0.000003,0.460886,0.150799,0.484929,0.229584,0.739792,0.000000,0.000023,0.565073,0.120866,0.577855,0.300919,0.797470,0.000000,0.000011,0.492020,0.022296,0.492525,0.430283,0.532806,0.000000,0.000000,0.493308,0.037553,0.494736,0.420700,0.567291,0.000000,0.000001,0.499096,0.038401,0.500571,0.424789,0.552856,0.000000,0.000001
0.266081,0.045071,0.269872,0.133911,0.337402,0.000000,0.000001,0.456848,0.141646,0.478303,0.186737,0.668381,0.000000,0.000021,0.549733,0.102286,0.559168,0.316513,0.698837,0.000000,0.000009,0.477351,0.024695,0.477989,0.424683,0.526016,0.000000,0.000000,0.496072,0.060353,0.499730,0.381317,0.600616,0.000000,0.000004,0.498124,0.049137,0.500542,0.403397,0.555466,0.000000,0.000002
0.284882,0.046731,0.288690,0.201340,0.392410,0.000000,0.000001,0.438905,0.110231,0.452535,0.264084,0.624634,0.000000,0.000012,0.574527,0.080804,0.580182,0.364288,0.714127,0.000000,0.000004,0.481008,0.032989,0.482137,0.392746,0.536240,0.000000,0.000000,0.493605,0.057868,0.496985,0.398300,0.593094,0.000000,0.000003,0.504731,0.049095,0.507113,0.406143,0.569763,0.000000,0.000002
0.284427,0.033007,0.286336,0.199173,0.344666,0.000000,0.000000,0.442683,0.117321,0.457966,0.180542,0.612747,0.000000,0.000012,0.555169,0.074161,0.560100,0.438065,0.680099,0.000000,0.000005,0.483777,0.028578,0.484621,0.431564,0.535828,0.000000,0.000001,0.492979,0.058871,0.496481,0.400558,0.593338,0.000000,0.000003,0.505279,0.047302,0.507489,0.428772,0.577133,0.000000,0.000002
0.285722,0.038255,0.288271,0.214462,0.401917,0.000000,0.000001,0.453397,0.135378,0.473177,0.148804,0.671371,0.000000,0.000016,0.527371,0.126911,0.542426,0.189102,0.737381,0.000000,0.000007,0.486362,0.026554,0.487087,0.437592,0.546005,0.000000,0.000000,0.484816,0.052704,0.487672,0.409637,0.573410,0.000000,0.000003,0.500836,0.042958,0.502675,0.415268,0.558517,0.000000,0.000002
0.288076,0.068188,0.296036,0.132233,0.460159,0.000000,0.000003,0.428322,0.137896,0.449972,0.125107,0.630676,0.000000,0.000017,0.524677,0.125678,0.539519,0.191330,0.809631,0.000000,0.000014,0.513414,0.033625,0.514513,0.427612,0.576797,0.000000,0.000001,0.501266,0.058796,0.504702,0.415009,0.600693,0.000000,0.000003,0.508637,0.046056,0.510718,0.430252,0.579071,0.000000,0.000002
0.267659,0.038399,0.270399,0.192413,0.358856,0.000000,0.000001,0.446186,0.127411,0.464021,0.185516,0.657013,0.000000,0.000015,0.525454,0.125303,0.540188,0.270477,0.729919,0.000000,0.000016,0.515840,0.026044,0.516497,0.460098,0.577881,0.000000,0.000000,0.503462,0.060699,0.507108,0.419937,0.603378,0.000000,0.000004,0.510939,0.049632,0.513344,0.406082,0.568787,0.000000,0.000002
0.257846,0.046716,0.262043,0.191803,0.378723,0.000000,0.000001,0.454929,0.131533,0.473563,0.234589,0.663452,0.000000,0.000018,0.519916,0.113805,0.532226,0.326889,0.738968,0.000000,0.000014,0.517059,0.025707,0.517697,0.468109,0.573959,0.000000,0.000000,0.502186,0.060437,0.505809,0.423355,0.613861,0.000000,0.000004,0.510764,0.049606,0.513167,0.405975,0.579559,0.000000,0.000002
0.259444,0.035180,0.261818,0.198685,0.350906,0.000000,0.000001,0.459630,0.130374,0.477762,0.249405,0.660721,0.000000,0.000017,0.553454,0.113994,0.565072,0.358414,0.756439,0.000000,0.000013,0.524062,0.029051,0.524866,0.481247,0.587906,0.000000,0.000000,0.500197,0.066543,0.504604,0.406937,0.609467,0.000000,0.000004,0.502139,0.051137,0.504736,0.404083,0.567413,0.000000,0.000003
0.265008,0.067588,0.273491,0.061844,0.353241,0.000000,0.000002,0.429366,0.162512,0.459092,0.159302,0.754074,0.000000,0.000014,0.524624,0.106825,0.535390,0.272095,0.729675,0.000000,0.000007,0.489373,0.027499,0.490145,0.429092,0.535400,0.000000,0.000000,0.493645,0.063875,0.497761,0.394241,0.614670,0.000000,0.000003,0.504904,0.048967,0.507273,0.394241,0.570419,0.000000,0.000001
0.184163,0.053858,0.191877,0.020920,0.272964,0.000000,0.000001,0.452898,0.139908,0.474016,0.191986,0.664581,0.000000,0.000019,0.539206,0.105608,0.549451,0.289825,0.690796,0.000000,0.000008,0.463169,0.037843,0.464712,0.361588,0.535309,0.000000,0.000001,0.497923,0.080003,0.504309,0.365753,0.633087,0.000000,0.000006,0.508506,0.069825,0.513277,0.374374,0.605209,0.000000,0.000005
0.209931,0.047465,0.215230,0.100296,0.334641,0.000000,0.000001,0.410670,0.120535,0.427994,0.190216,0.624069,0.000000,0.000014,0.542431,0.089679,0.549795,0.393799,0.656311,0.000000,0.000007,0.463662,0.052602,0.466636,0.322906,0.543594,0.000000,0.000001,0.481595,0.076393,0.487617,0.372330,0.614975,0.000000,0.000006,0.505216,0.071260,0.510217,0.369797,0.607178,0.000000,0.000005
0.198332,0.080701,0.214123,0.000061,0.327362,0.000000,0.000002,0.408891,0.094947,0.419770,0.172165,0.553772,0.000000,0.000006,0.561369,0.108872,0.571829,0.360886,0.801514,0.000000,0.000009,0.455324,0.047081,0.457752,0.332092,0.525558,0.000000,0.000001,0.481293,0.087471,0.489177,0.338898,0.667847,0.000000,0.000007,0.523047,0.069574,0.527654,0.409882,0.608765,0.000000,0.000004
0.097946,0.110162,0.147408,0.000061,0.396011,0.000000,0.000004,0.513117,0.388775,0.643766,0.000061,0.999939,0.000003,0.000064,0.556247,0.348379,0.656338,0.000061,0.999939,0.000002,0.000042,0.473972,0.052941,0.476920,0.353836,0.579712,0.000000,0.000001,0.501749,0.093976,0.510474,0.335770,0.686066,0.000000,0.000004,0.496613,0.079516,0.502939,0.333099,0.639786,0.000000,0.000002
0.145123,0.130193,0.194964,0.000061,0.462265,0.000000,0.000008,0.470698,0.409272,0.623747,0.000061,0.999939,0.000003,0.000077,0.613132,0.395985,0.729887,0.000061,0.999939,0.000003,0.000078,0.484215,0.044611,0.486266,0.399246,0.565094,0.000000,0.000002,0.499494,0.091971,0.507891,0.360947,0.684692,0.000000,0.000004,0.504073,0.060745,0.507720,0.377167,0.586044,0.000000,0.000002
0.246128,0.143490,0.284901,0.000061,0.454193,0.000000,0.000007,0.458214,0.344774,0.573436,0.000061,0.999939,0.000002,0.000081,0.569294,0.316481,0.651349,0.000061,0.999939,0.000002,0.000054,0.495439,0.033479,0.496569,0.424377,0.559891,0.000000,0.000001,0.499637,0.070978,0.504653,0.359940,0.654022,0.000000,0.000003,0.499096,0.047093,0.501313,0.401459,0.583847,0.000000,0.000001
0.238393,0.133976,0.273461,0.000061,0.542572,0.000000,0.000012,0.445667,0.361852,0.574070,0.000061,0.979660,0.000002,0.000120,0.546350,0.335173,0.640967,0.013031,0.999939,0.000002,0.000104,0.505167,0.028167,0.505952,0.449707,0.570908,0.000000,0.000000,0.501686,0.060688,0.505343,0.406967,0.618134,0.000000,0.000003,0.503502,0.055644,0.506567,0.402603,0.610611,0.000000,0.000003
0.181787,0.098556,0.206784,0.000061,0.456665,0.000000,0.000007,0.439953,0.336521,0.553900,0.000061,0.945633,0.000002,0.000114,0.522985,0.378026,0.645304,0.000061,0.999939,0.000003,0.000121,0.516927,0.028162,0.517694,0.464432,0.579300,0.000000,0.000001,0.499485,0.081290,0.506056,0.381973,0.652863,0.000000,0.000006,0.500509,0.059226,0.504001,0.394547,0.600128,0.000000,0.000003
0.177192,0.079591,0.194247,0.035568,0.343277,0.000000,0.000003,0.452294,0.290866,0.537748,0.000061,0.880264,0.000001,0.000061,0.507558,0.344267,0.613298,0.000061,0.999939,0.000002,0.000099,0.520403,0.034700,0.521558,0.458023,0.606903,0.000000,0.000000,0.498677,0.076342,0.504487,0.385742,0.618195,0.000000,0.000004,0.505521,0.060949,0.509182,0.383102,0.598984,0.000000,0.000003
0.410188,0.040765,0.412209,0.309509,0.462570,0.000000,0.000001,0.455445,0.065582,0.460143,0.157227,0.583694,0.000000,0.000001,0.560787,0.077066,0.566058,0.287460,0.630737,0.000000,0.000002,0.502934,0.006334,0.502974,0.479141,0.517670,0.000000,0.000000,0.515844,0.019906,0.516228,0.480225,0.591690,0.000000,0.000000,0.503328,0.009149,0.503411,0.473145,0.532028,0.000000,0.000000
