aX,aY,aZ,gX,gY,gZ
-0.906,1.002,0.682,504.822,203.674,95.093
0.052,1.607,0.209,405.090,115.417,128.784
0.755,0.632,0.714,154.724,13.428,88.562
0.200,0.252,1.022,-5.188,-43.152,30.579
-0.152,0.282,0.945,-7.751,-52.856,20.447
-0.343,0.287,0.785,16.479,-57.312,13.611
-0.362,0.216,0.851,22.095,-57.617,1.404
-0.392,0.215,0.917,22.766,-61.279,-16.357
-0.408,0.177,0.913,13.977,-55.847,-32.288
-0.384,0.303,0.859,13.184,-53.467,-46.326
-0.366,0.296,0.910,7.629,-47.485,-53.467
-0.342,0.302,0.926,-0.916,-34.607,-51.819
-0.327,0.311,0.975,-8.667,-22.888,-44.617
-0.309,0.322,1.035,-13.794,-11.658,-35.828
-0.326,0.312,1.062,-17.151,-1.343,-28.137
-0.326,0.250,1.047,-19.287,6.531,-21.484
-0.146,0.062,0.974,-18.250,12.024,-19.348
-0.251,0.197,0.979,-16.174,19.775,-23.804
-0.274,0.214,0.958,-13.916,26.733,-30.090
-0.282,0.203,0.983,-14.832,41.016,-35.889
-0.374,0.236,0.986,-19.653,65.857,-45.166
-0.435,0.335,1.017,-29.541,105.164,-57.922
-0.291,0.408,1.145,-36.499,142.944,-75.500
-0.024,0.437,1.219,-34.973,157.104,-75.684
0.107,0.405,1.179,-28.931,135.864,-67.322
0.166,0.534,1.493,-21.973,101.013,-57.190
0.359,0.389,1.141,5.981,27.405,-34.180
0.152,0.341,1.006,26.367,-33.691,-11.658
0.004,0.399,1.013,21.790,-52.917,-6.287
-0.041,0.364,1.030,23.926,-61.218,-10.193
-0.001,0.355,1.086,26.611,-66.589,-14.709
0.089,0.297,1.078,25.024,-78.796,-10.864
0.129,0.284,1.135,26.306,-94.666,1.221
-0.028,0.267,1.104,27.222,-103.088,16.724
-0.183,0.267,1.139,21.118,-100.464,23.926
-0.211,0.292,1.202,15.137,-86.182,16.418
-0.047,0.213,1.222,18.677,-73.303,6.287
-0.049,0.287,1.171,26.123,-73.547,0.610
0.032,0.232,1.216,29.968,-84.778,0.793
-0.025,0.226,1.244,24.353,-91.003,4.028
-0.097,0.239,1.241,16.357,-90.210,9.216
-0.189,0.189,1.243,9.705,-85.571,12.634
-0.129,0.155,1.208,3.418,-79.956,11.902
-0.188,0.124,1.220,-5.920,-67.566,12.634
-0.202,0.157,1.172,-11.597,-56.702,9.827
-0.174,0.259,1.122,-8.240,-56.580,2.075
-0.200,0.248,1.077,-1.526,-60.364,-3.296
-0.177,0.249,1.025,8.057,-60.547,-7.629
-0.192,0.248,0.976,12.939,-56.580,-10.681
-0.191,0.275,0.878,14.526,-51.147,-13.550
-0.145,0.259,0.864,13.489,-43.091,-16.968
-0.175,0.202,0.797,7.080,-31.250,-17.334
-0.155,0.212,0.754,6.042,-22.156,-15.686
-0.178,0.177,0.736,9.827,-10.925,-13.489
-0.235,0.185,0.744,20.203,0.244,-10.071
-0.218,0.231,0.644,34.790,9.644,-12.024
-0.275,0.232,0.682,50.049,12.878,-18.250
-0.228,0.240,0.810,68.359,10.010,-21.851
-0.194,0.255,0.865,77.209,9.888,-19.043
-0.200,0.227,0.877,77.332,8.362,-12.329
-0.210,0.178,0.835,72.754,5.127,-6.042
-0.224,0.114,0.740,67.261,5.554,-1.953
-0.245,0.076,0.647,62.805,12.939,-0.488
-0.296,0.027,0.567,62.683,22.400,-3.418
-0.326,-0.025,0.609,70.801,28.748,-13.794
-0.234,-0.042,0.738,80.383,36.255,-23.804
-0.187,-0.103,0.831,81.665,42.053,-26.062
-0.173,-0.133,0.877,74.158,42.908,-27.161
-0.193,-0.072,0.895,63.110,31.982,-28.442
-0.262,-0.029,0.828,57.129,7.446,-31.067
-0.275,-0.027,0.778,55.908,-15.564,-36.743
-0.268,-0.062,0.706,55.359,-28.748,-43.823
-0.230,-0.080,0.648,50.415,-34.729,-51.208
-0.244,-0.044,0.598,44.006,-36.377,-57.983
-0.274,-0.023,0.525,39.917,-35.706,-63.721
-0.248,-0.002,0.483,43.335,-37.231,-71.167
-0.235,0.023,0.508,51.392,-40.649,-79.163
-0.197,0.038,0.555,55.054,-41.748,-85.449
-0.129,0.074,0.608,52.734,-45.166,-89.355
-0.083,0.141,0.555,48.279,-49.927,-90.942
-0.067,0.204,0.527,38.696,-51.270,-88.196
-0.082,0.232,0.505,31.311,-46.570,-83.801
-0.046,0.239,0.521,32.227,-38.025,-79.773
-0.038,0.211,0.603,32.349,-24.902,-71.777
-0.093,0.136,0.738,26.855,-13.855,-59.875
-0.139,0.081,0.778,21.240,-13.123,-50.171
-0.248,-0.040,0.796,22.888,-23.254,-42.908
-0.240,-0.097,0.757,32.288,-33.264,-46.448
-0.257,-0.128,0.792,34.729,-38.330,-54.382
-0.279,-0.100,0.817,33.203,-37.292,-64.453
-0.196,-0.039,0.802,26.489,-31.372,-70.679
-0.277,0.067,0.895,11.719,-20.752,-74.951
-0.335,0.076,1.009,0.793,-9.583,-72.083
-0.426,0.063,1.027,-4.395,-2.563,-66.406
-0.497,0.005,1.053,-9.338,5.615,-63.660
-0.456,0.013,1.003,-11.353,17.944,-66.711
-0.412,0.026,0.986,-15.259,24.048,-70.618
-0.365,0.111,0.940,-16.296,20.203,-75.134
-0.378,0.167,0.955,-16.846,14.221,-75.684
-0.380,0.224,0.992,-14.954,14.404,-70.374
-0.412,0.205,1.142,-12.390,17.029,-62.744
-0.365,0.203,1.002,-10.437,17.334,-49.927
-0.421,0.191,1.031,-16.663,15.442,-38.208
-0.607,0.093,1.058,-7.690,18.127,-25.146
-0.624,0.024,0.942,34.546,30.945,-6.165
-0.242,-0.352,0.887,91.125,51.819,26.184
-0.074,0.413,0.015,84.961,71.350,67.566
-0.296,0.468,0.816,22.156,40.771,37.292
-0.500,0.160,1.288,2.441,5.981,4.089
-0.474,-0.014,1.086,10.803,8.789,-1.709
-0.442,-0.028,1.074,2.747,2.502,-2.502
-0.528,-0.025,1.070,-17.639,-2.563,-2.075
-0.582,-0.004,1.078,-38.696,1.221,-4.883
-0.548,-0.032,1.037,-55.359,18.005,-5.005
-0.519,0.014,1.087,-70.984,46.936,-6.958
-0.455,0.037,1.127,-74.585,77.698,-8.911
-0.346,0.101,1.068,-66.711,104.980,-9.399
-0.301,0.125,0.962,-45.471,112.976,-7.568
-0.313,0.078,1.127,-31.189,108.521,-6.165

-0.510,0.499,1.653,6.958,3.052,-38.513
-0.475,0.527,1.775,12.390,-13.062,-29.907
-0.449,0.513,1.817,14.771,-32.104,-20.752
-0.433,0.484,1.816,8.789,-48.401,-8.606
-0.436,0.482,1.815,-4.883,-62.195,5.493
-0.422,0.488,1.772,-19.043,-72.571,19.958
-0.410,0.502,1.760,-30.212,-81.665,29.419
-0.411,0.514,1.702,-36.255,-96.069,35.278
-0.420,0.525,1.594,-37.109,-116.455,41.016
-0.420,0.527,1.473,-39.246,-132.812,47.546
-0.443,0.536,1.351,-44.189,-143.738,55.786
-0.468,0.560,1.221,-47.913,-151.184,64.148
-0.502,0.568,1.131,-51.270,-155.579,71.350
-0.485,0.589,1.071,-50.964,-157.166,76.843
-0.459,0.616,1.040,-44.312,-155.518,80.261
-0.442,0.587,1.007,-33.752,-156.982,84.351
