aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,gX_mean,gX_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.523775,0.043474,0.525577,0.423599,0.643936,0.000033,0.000669,0.527085,0.071866,0.531961,0.323364,0.711868,0.000090,0.000991,0.610631,0.084187,0.616407,0.309052,0.999939,0.000123,0.001132,0.497372,0.019504,0.497755,0.414551,0.544250,0.000007,0.000100,0.504630,0.016427,0.504897,0.461899,0.594391,0.000005,0.000064,0.491184,0.019222,0.491560,0.445297,0.531815,0.000006,0.000101
0.520404,0.081144,0.526692,0.304520,0.647781,0.000115,0.003767,0.618360,0.076654,0.623093,0.489548,0.794601,0.000102,0.002204,0.503127,0.184704,0.535959,0.173080,0.890884,0.000594,0.014241,0.498860,0.027620,0.499624,0.435120,0.555832,0.000013,0.000339,0.508211,0.052586,0.510924,0.439941,0.610596,0.000048,0.001043,0.506193,0.026721,0.506898,0.462189,0.566467,0.000012,0.000367
0.522403,0.086408,0.529500,0.329330,0.637802,0.000130,0.002995,0.602736,0.074002,0.607262,0.464935,0.757874,0.000095,0.002435,0.493513,0.180110,0.525352,0.226425,0.792999,0.000565,0.012278,0.506801,0.016185,0.507059,0.481979,0.540283,0.000005,0.000112,0.512265,0.048247,0.514532,0.439011,0.597794,0.000041,0.001147,0.507823,0.022632,0.508327,0.472382,0.572586,0.000009,0.000192
0.508965,0.072643,0.514123,0.362961,0.609619,0.000092,0.002158,0.609615,0.076860,0.614441,0.464996,0.745193,0.000103,0.002631,0.497151,0.176151,0.527435,0.232010,0.754364,0.000540,0.012180,0.504604,0.014123,0.504802,0.482956,0.542374,0.000003,0.000098,0.515003,0.050803,0.517502,0.443665,0.603348,0.000045,0.001844,0.507729,0.021865,0.508200,0.474228,0.553940,0.000008,0.000286
0.506911,0.084373,0.513885,0.324982,0.653198,0.000124,0.002480,0.605280,0.088679,0.611742,0.463745,0.773941,0.000137,0.004260,0.512100,0.163255,0.537493,0.216568,0.820129,0.000464,0.014266,0.504864,0.016195,0.505123,0.482803,0.552719,0.000005,0.000097,0.511423,0.053739,0.514239,0.430847,0.613205,0.000050,0.002002,0.505462,0.029218,0.506306,0.465973,0.568527,0.000015,0.000471
0.511581,0.083653,0.518376,0.291306,0.833527,0.000122,0.001726,0.594422,0.064790,0.597942,0.496262,0.779037,0.000073,0.001662,0.554610,0.171239,0.580444,0.000061,0.831696,0.000510,0.015246,0.498079,0.018510,0.498422,0.463745,0.555450,0.000006,0.000209,0.496477,0.051398,0.499130,0.375549,0.632935,0.000046,0.001185,0.493731,0.015186,0.493964,0.460419,0.525543,0.000004,0.000154
0.500545,0.080079,0.506910,0.259293,0.592072,0.000112,0.002307,0.610893,0.066416,0.614493,0.513290,0.785110,0.000077,0.001613,0.487859,0.187104,0.522508,0.192322,0.861282,0.000609,0.021624,0.502387,0.013509,0.502569,0.482605,0.546219,0.000003,0.000042,0.512448,0.052066,0.515086,0.445557,0.626831,0.000047,0.002204,0.503967,0.018592,0.504309,0.478500,0.558990,0.000006,0.000101
0.505202,0.071206,0.510195,0.298294,0.586899,0.000088,0.002157,0.595430,0.052906,0.597776,0.499039,0.740234,0.000049,0.001031,0.530327,0.152926,0.551936,0.195480,0.796127,0.000407,0.012522,0.502348,0.010016,0.502448,0.488174,0.536926,0.000002,0.000047,0.493896,0.052048,0.496631,0.433456,0.618576,0.000047,0.002159,0.497225,0.018255,0.497560,0.473541,0.553650,0.000006,0.000249
0.502693,0.082175,0.509365,0.261108,0.599503,0.000118,0.002704,0.588656,0.065720,0.592314,0.455414,0.819672,0.000075,0.001645,0.545693,0.151147,0.566239,0.177307,0.825974,0.000398,0.013468,0.499061,0.010472,0.499171,0.475296,0.539383,0.000002,0.000021,0.502930,0.047111,0.505131,0.447815,0.622101,0.000039,0.001767,0.501207,0.021687,0.501676,0.473831,0.584641,0.000008,0.000229
0.523544,0.069164,0.528093,0.293671,0.614471,0.000083,0.001271,0.597790,0.041360,0.599219,0.527344,0.731979,0.000030,0.000662,0.485896,0.165736,0.513384,0.183304,0.756912,0.000478,0.020848,0.502318,0.008606,0.502392,0.480270,0.528946,0.000001,0.000013,0.504942,0.047263,0.507149,0.448990,0.630386,0.000039,0.001894,0.504268,0.012734,0.504429,0.490158,0.548248,0.000003,0.000066
