aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.433196,0.122626,0.450218,0.000061,0.539673,0.000000,0.000005,0.451012,0.066905,0.455947,0.042542,0.593201,0.000000,0.000001,0.184193,0.079342,0.200554,0.005875,0.342636,0.000000,0.000003,0.500066,0.016154,0.500327,0.475571,0.552475,0.000000,0.000000,0.499075,0.060067,0.502677,0.280228,0.585434,0.000000,0.000001,0.497890,0.009862,0.497988,0.459702,0.522415,0.000000,0.000000
0.432704,0.073557,0.438911,0.119095,0.530121,0.000000,0.000002,0.464021,0.063230,0.468309,0.320190,0.611694,0.000000,0.000002,0.287906,0.210836,0.356850,0.071579,0.999939,0.000001,0.000017,0.499101,0.010591,0.499213,0.479156,0.524887,0.000000,0.000000,0.501451,0.046604,0.503612,0.342133,0.570602,0.000000,0.000001,0.501625,0.012254,0.501774,0.469833,0.523804,0.000000,0.000000
0.431885,0.067831,0.437179,0.145981,0.518539,0.000000,0.000002,0.467726,0.069880,0.472917,0.229065,0.642319,0.000000,0.000002,0.607561,0.196804,0.638641,0.212524,0.999939,0.000001,0.000019,0.499039,0.009507,0.499130,0.463959,0.520004,0.000000,0.000000,0.501153,0.046630,0.503318,0.345047,0.577469,0.000000,0.000001,0.499869,0.013348,0.500047,0.456818,0.517151,0.000000,0.000000
0.427229,0.071024,0.433092,0.215027,0.547241,0.000000,0.000003,0.475584,0.062163,0.479630,0.304398,0.617752,0.000000,0.000002,0.601533,0.195796,0.632596,0.132690,0.999939,0.000001,0.000017,0.498199,0.008957,0.498279,0.464920,0.522690,0.000000,0.000000,0.502774,0.054937,0.505766,0.313538,0.595032,0.000000,0.000001,0.501551,0.013505,0.501733,0.461075,0.523468,0.000000,0.000000
0.430877,0.067908,0.436195,0.163605,0.513702,0.000000,0.000002,0.470867,0.077484,0.477199,0.190353,0.649628,0.000000,0.000002,0.598610,0.204053,0.632433,0.160233,0.999939,0.000001,0.000018,0.499459,0.009725,0.499553,0.476395,0.524979,0.000000,0.000000,0.500575,0.046890,0.502766,0.342072,0.573334,0.000000,0.000001,0.500479,0.015006,0.500703,0.448318,0.525558,0.000000,0.000000
0.398486,0.068455,0.404323,0.158401,0.528076,0.000000,0.000001,0.471926,0.073607,0.477632,0.328796,0.668594,0.000000,0.000003,0.596251,0.236090,0.641290,0.114792,0.999939,0.000001,0.000025,0.498331,0.010335,0.498439,0.474854,0.524765,0.000000,0.000000,0.514061,0.059098,0.517447,0.336426,0.587753,0.000000,0.000002,0.504609,0.016152,0.504867,0.454132,0.522232,0.000000,0.000000
0.365029,0.079354,0.373555,0.063080,0.499542,0.000000,0.000003,0.463010,0.088519,0.471395,0.267532,0.662323,0.000000,0.000003,0.620304,0.251519,0.669357,0.167297,0.999939,0.000001,0.000051,0.496468,0.011474,0.496600,0.449203,0.524643,0.000000,0.000000,0.505524,0.079744,0.511775,0.283417,0.610443,0.000000,0.000005,0.503590,0.017964,0.503911,0.451080,0.528717,0.000000,0.000000
0.371945,0.092765,0.383338,0.061829,0.471207,0.000000,0.000002,0.455745,0.085972,0.463783,0.252472,0.642899,0.000000,0.000003,0.645850,0.239574,0.688853,0.316208,0.999939,0.000001,0.000039,0.495281,0.011236,0.495409,0.460281,0.520599,0.000000,0.000000,0.497242,0.074933,0.502857,0.282349,0.580612,0.000000,0.000004,0.500580,0.021885,0.501058,0.449936,0.522308,0.000000,0.000000
0.262545,0.126346,0.291364,0.003052,0.484192,0.000000,0.000005,0.477341,0.185783,0.512221,0.000061,0.964096,0.000001,0.000012,0.299105,0.407710,0.505659,0.000061,0.999939,0.000003,0.000093,0.496740,0.015069,0.496969,0.448654,0.534378,0.000000,0.000000,0.495511,0.089151,0.503467,0.329605,0.617126,0.000000,0.000004,0.496127,0.016330,0.496396,0.464417,0.532028,0.000000,0.000000
0.333214,0.085845,0.344095,0.111511,0.473480,0.000000,0.000003,0.442069,0.163700,0.471405,0.043060,0.795761,0.000000,0.000019,0.000061,0.000000,0.000061,0.000061,0.000061,0.000000,0.000000,0.499563,0.012317,0.499714,0.474945,0.523972,0.000000,0.000000,0.502284,0.080881,0.508754,0.342697,0.597351,0.000000,0.000007,0.501923,0.014450,0.502131,0.465729,0.521652,0.000000,0.000000
