aX,aY,aZ,gX,gY,gZ
0.172,-0.672,2.084,32.593,93.323,120.300
0.149,-0.763,2.048,18.433,65.186,115.662
0.048,-0.795,1.946,8.911,34.912,105.774
-0.061,-0.819,1.839,9.521,4.150,91.858
-0.100,-0.833,1.760,18.372,-19.653,73.853
-0.184,-0.761,1.705,28.564,-39.246,52.185
-0.181,-0.739,1.615,35.706,-54.077,33.997
-0.200,-0.694,1.493,39.856,-67.932,17.761
-0.252,-0.644,1.375,39.917,-80.811,4.272
-0.289,-0.568,1.248,34.790,-88.684,-7.263
-0.328,-0.484,1.104,28.870,-94.482,-21.912
-0.377,-0.395,0.999,29.053,-99.976,-38.391
-0.388,-0.330,0.913,36.438,-104.187,-55.054
-0.379,-0.273,0.882,50.781,-103.210,-70.435
-0.343,-0.201,0.823,65.674,-98.755,-80.200
-0.407,-0.173,0.883,78.308,-90.515,-84.717
-0.369,-0.115,0.931,80.994,-83.984,-86.426
-0.353,-0.094,0.999,78.979,-79.956,-83.435
-0.424,-0.028,0.952,73.853,-76.111,-80.811
-0.413,-0.038,0.969,65.308,-67.139,-73.608
-0.451,-0.034,0.983,54.749,-62.134,-64.514
-0.484,-0.031,0.938,42.786,-56.396,-58.472
-0.474,-0.026,0.909,32.043,-48.096,-56.824
-0.452,-0.008,0.901,27.344,-39.795,-57.861
-0.429,0.011,0.904,26.794,-32.166,-59.570
-0.397,0.041,0.938,29.968,-23.621,-61.707
-0.338,0.069,0.992,33.386,-16.357,-61.829
-0.302,0.116,0.997,33.447,-14.465,-58.228
-0.246,0.170,0.987,28.503,-14.038,-52.063
-0.214,0.242,0.929,21.057,-14.832,-45.471
-0.188,0.316,0.870,13.123,-14.771,-38.086
-0.141,0.375,0.822,6.958,-14.160,-29.602
-0.137,0.421,0.765,3.723,-12.695,-21.362
-0.136,0.458,0.715,2.747,-11.780,-13.550
-0.112,0.478,0.651,2.686,-11.536,-4.822
-0.109,0.475,0.578,4.822,-13.672,2.869
-0.107,0.454,0.514,8.545,-16.174,10.864
-0.095,0.429,0.468,11.169,-17.883,17.883
-0.104,0.426,0.423,11.292,-18.494,21.912
-0.120,0.448,0.371,8.484,-17.944,22.949
-0.128,0.480,0.302,6.409,-18.860,23.071
-0.152,0.508,0.217,6.775,-23.437,24.841
-0.186,0.511,0.105,7.141,-29.358,28.381
-0.262,0.494,0.007,5.798,-35.522,31.982
-0.243,0.479,-0.115,3.357,-38.818,31.982
-0.182,0.468,-0.199,-1.221,-36.499,32.227
-0.155,0.468,-0.248,-4.028,-24.902,36.072
-0.147,0.460,-0.302,-3.235,-5.920,41.138
-0.040,0.370,-0.194,-2.930,22.522,51.453
-0.015,0.308,-0.109,-1.404,48.645,59.448
-0.007,0.214,0.054,-1.038,78.613,65.063
0.009,0.099,0.271,-2.502,105.652,69.214
0.012,0.028,0.464,-5.676,124.695,67.932
0.022,-0.010,0.657,-8.667,136.353,64.087
0.020,-0.052,0.855,-10.071,138.794,58.899
0.000,-0.070,0.980,-13.916,132.690,52.551
0.037,-0.095,1.044,-21.912,122.009,46.021
0.071,-0.071,1.080,-31.311,110.718,39.673
0.064,-0.032,1.061,-40.649,100.830,38.208
0.055,-0.052,1.065,-42.480,96.130,41.992
0.077,-0.149,1.193,-33.203,101.990,46.143
0.063,-0.277,1.426,-19.836,114.990,47.729
0.081,-0.382,1.675,-8.179,125.366,45.654
0.059,-0.437,1.827,0.977,127.014,40.833
0.053,-0.537,1.973,6.592,121.704,37.842
0.048,-0.654,2.059,7.690,107.178,34.485
0.022,-0.724,2.122,6.714,83.496,28.992
-0.016,-0.751,2.139,6.409,53.650,24.902
-0.088,-0.782,2.083,6.226,23.193,20.203
-0.154,-0.813,1.989,4.944,-3.235,14.709
-0.191,-0.829,1.904,4.944,-20.508,9.277
-0.230,-0.817,1.823,8.118,-29.419,4.517
-0.266,-0.781,1.716,11.536,-35.828,0.183
-0.310,-0.756,1.589,13.306,-45.105,-2.441
-0.333,-0.718,1.495,15.442,-55.725,-6.042
-0.358,-0.677,1.394,19.958,-65.918,-10.864
-0.389,-0.633,1.263,23.376,-72.876,-16.113
-0.417,-0.588,1.140,25.879,-75.562,-20.813
-0.417,-0.537,1.060,27.161,-74.646,-25.696
-0.410,-0.495,0.987,29.541,-72.144,-31.250
-0.409,-0.457,0.924,30.884,-68.787,-37.048
-0.394,-0.441,0.924,31.982,-62.866,-43.640
-0.383,-0.400,0.947,32.410,-55.420,-51.331
-0.344,-0.343,0.940,31.738,-49.255,-57.800
-0.316,-0.291,0.919,31.860,-46.204,-61.584
-0.295,-0.256,0.888,29.846,-45.776,-62.012
-0.279,-0.231,0.825,25.146,-45.410,-59.937
-0.273,-0.189,0.740,18.677,-42.114,-57.007
-0.270,-0.134,0.671,14.038,-34.607,-54.871
-0.262,-0.073,0.627,14.221,-22.217,-54.504
-0.170,-0.060,0.684,18.616,-8.484,-54.810
-0.214,0.053,0.615,24.902,-0.244,-55.969
-0.162,0.040,0.621,32.288,11.658,-49.683
-0.134,0.058,0.666,35.645,15.198,-42.297
-0.120,0.067,0.671,34.363,19.470,-35.889
-0.116,0.105,0.635,27.039,23.071,-32.471
-0.083,0.145,0.608,17.761,24.536,-30.945
-0.083,0.205,0.560,9.583,22.461,-28.442
-0.109,0.290,0.505,3.052,19.043,-25.146
-0.111,0.354,0.458,0.305,14.893,-22.949
-0.101,0.395,0.425,2.380,11.353,-22.156
-0.080,0.415,0.392,5.554,8.545,-20.203
-0.096,0.426,0.347,6.287,4.517,-15.625
-0.097,0.436,0.318,3.113,5.066,-9.094
-0.080,0.451,0.309,-1.282,10.681,-1.709
-0.076,0.454,0.323,-4.333,18.311,6.470
-0.056,0.451,0.377,-5.005,28.259,15.381
-0.034,0.430,0.457,-3.357,38.696,25.818
-0.029,0.380,0.562,-2.136,47.363,37.109
-0.028,0.306,0.681,-3.906,53.650,46.448
-0.056,0.216,0.787,-8.423,57.312,53.040
-0.031,0.164,0.859,-14.343,59.204,57.739
-0.075,0.136,0.879,-18.127,54.382,58.716
-0.071,0.106,0.898,-18.127,48.523,55.359
-0.037,0.075,0.960,-12.451,44.922,53.528
-0.010,0.019,1.052,-4.944,43.030,54.138
-0.005,-0.082,1.174,2.319,44.189,57.068
-0.007,-0.230,1.347,7.324,46.875,61.401
-0.037,-0.384,1.504,9.827,47.180,64.392

-0.166,-0.881,1.744,10.193,3.662,36.011
-0.217,-0.934,1.768,13.489,0.427,28.503
-0.235,-0.961,1.738,12.878,-3.418,20.630
-0.230,-0.991,1.675,11.108,-13.184,11.902
-0.278,-0.963,1.588,8.545,-29.053,2.441
-0.340,-0.926,1.457,6.836,-44.800,-5.981
-0.366,-0.906,1.335,7.568,-55.664,-15.747
-0.397,-0.845,1.201,8.118,-62.805,-26.550
-0.390,-0.779,1.075,9.338,-66.956,-37.109
-0.380,-0.695,0.981,12.024,-67.078,-47.363
-0.354,-0.603,0.897,15.015,-63.599,-56.458
-0.337,-0.517,0.845,17.517,-57.983,-63.599
-0.322,-0.424,0.818,17.456,-50.720,-67.749
-0.292,-0.322,0.774,13.733,-41.260,-68.420
-0.263,-0.235,0.727,8.728,-31.616,-66.040
-0.250,-0.162,0.691,2.930,-21.851,-61.279
-0.232,-0.102,0.677,-1.892,-11.475,-56.152
-0.216,-0.061,0.715,-4.333,-0.061,-51.270
-0.209,-0.037,0.761,-4.150,10.803,-47.241
-0.142,-0.048,0.851,-3.113,17.090,-45.471
-0.216,0.010,0.851,-2.808,14.099,-48.096
-0.172,0.023,0.837,-1.221,13.184,-49.072
-0.126,0.072,0.818,0.366,5.676,-51.392
-0.111,0.120,0.787,2.136,0.977,-53.345
-0.065,0.164,0.760,2.380,0.671,-54.749
-0.012,0.243,0.723,-0.732,0.488,-56.641
-0.013,0.352,0.646,-5.615,-0.244,-57.007
-0.021,0.460,0.560,-9.827,0.122,-51.575
-0.021,0.544,0.481,-9.094,1.038,-43.030
-0.020,0.577,0.418,-4.822,1.587,-32.166
-0.015,0.581,0.368,-1.221,3.906,-19.104
-0.017,0.582,0.336,1.099,8.667,-6.836
0.016,0.555,0.329,2.014,15.503,4.089
0.026,0.550,0.332,2.258,22.583,16.724
0.038,0.533,0.375,3.174,30.701,29.419
0.064,0.502,0.422,2.686,40.344,42.053
0.071,0.467,0.487,3.479,48.523,53.833
0.036,0.423,0.560,7.019,56.274,65.002
0.093,0.328,0.693,10.681,64.636,75.806
0.088,0.224,0.813,13.123,65.186,83.252
0.051,0.087,0.933,13.794,65.857,87.769
0.015,-0.062,1.060,13.428,62.683,90.332
-0.018,-0.166,1.117,11.597,54.077,86.914
-0.008,-0.221,1.134,11.963,44.800,78.796
0.030,-0.288,1.179,18.860,36.987,71.594
0.041,-0.394,1.261,29.724,29.175,67.627
0.022,-0.530,1.378,38.818,22.217,67.566
-0.028,-0.676,1.508,40.771,17.517,69.031
-0.053,-0.810,1.558,33.569,16.846,68.787
-0.082,-0.947,1.571,26.184,17.517,66.101
-0.158,-1.046,1.594,18.921,17.212,58.899
-0.206,-1.092,1.608,8.728,10.498,50.537
-0.236,-1.146,1.575,0.488,-0.061,38.513
-0.302,-1.134,1.507,-5.005,-8.667,22.949
-0.318,-1.118,1.402,-7.507,-13.306,7.141
-0.328,-1.067,1.328,-10.376,-19.104,-7.507
-0.349,-1.005,1.227,-12.146,-29.480,-22.156
-0.372,-0.936,1.125,-11.719,-40.161,-37.109
-0.384,-0.857,1.041,-10.193,-47.180,-52.612
-0.380,-0.764,0.974,-8.057,-50.232,-66.772
-0.373,-0.652,0.913,-6.836,-50.781,-78.308
-0.356,-0.547,0.861,-6.958,-49.377,-87.219
-0.343,-0.449,0.833,-8.057,-45.898,-93.933
-0.330,-0.347,0.777,-9.888,-41.016,-98.267
-0.313,-0.252,0.753,-12.390,-34.485,-97.839
-0.291,-0.158,0.727,-14.771,-27.466,-95.886
-0.275,-0.064,0.706,-15.503,-19.287,-91.919
-0.262,0.004,0.694,-13.367,-10.742,-84.412
-0.251,0.033,0.722,-9.583,-3.540,-73.364
-0.245,0.002,0.781,-5.371,2.319,-60.730
-0.276,-0.041,0.837,-2.319,7.751,-50.476
-0.289,-0.064,0.853,-1.160,11.597,-44.312
-0.278,-0.077,0.881,-0.427,13.062,-42.664
-0.252,-0.078,0.906,-0.732,14.404,-44.067
-0.231,-0.057,0.937,-1.892,16.541,-46.570
-0.198,-0.019,0.943,-4.150,17.090,-48.462
-0.167,0.024,0.927,-6.531,15.015,-49.438
-0.136,0.077,0.903,-8.118,12.878,-49.805
-0.091,0.139,0.866,-9.094,12.207,-49.561
-0.021,0.209,0.842,-8.972,11.963,-49.072
0.015,0.309,0.799,-8.484,12.512,-48.889
0.055,0.414,0.757,-8.057,13.184,-46.997
0.093,0.512,0.726,-6.775,13.245,-41.077
0.105,0.582,0.692,-4.700,13.489,-31.311
0.123,0.617,0.663,-0.977,14.038,-17.517
0.122,0.607,0.636,4.578,13.306,-0.061
0.113,0.550,0.626,11.047,11.841,20.203
0.099,0.443,0.640,16.479,12.329,40.100
0.067,0.354,0.646,17.822,15.869,56.335
0.044,0.283,0.648,16.663,21.118,68.054
0.021,0.224,0.650,15.869,25.269,75.806
-0.006,0.202,0.631,14.893,29.419,80.811
0.013,0.146,0.688,15.198,36.194,85.205
