aX,aY,aZ,gX,gY,gZ
0.299,0.046,0.850,253.662,-101.257,47.424
0.387,0.183,0.845,23.926,-8.972,32.410
0.459,0.344,0.895,-19.653,2.502,35.950
0.473,0.347,0.932,9.277,-15.076,38.574
0.385,0.179,0.927,30.518,-24.597,33.325
0.267,0.050,0.864,42.969,-28.931,25.024
0.289,0.084,0.827,50.293,-32.166,13.184
0.279,0.147,0.814,54.260,-32.471,3.479
0.260,0.158,0.781,55.298,-26.978,2.930
0.302,0.207,0.757,51.636,-15.503,9.216
0.347,0.254,0.798,47.974,-2.502,20.386
0.338,0.235,0.851,51.941,8.484,34.180
0.380,0.222,0.923,61.462,15.076,41.931
0.382,0.126,0.964,72.937,18.860,42.603
0.272,0.040,0.996,82.458,25.452,37.842
0.133,-0.051,0.994,93.689,34.729,32.166
0.245,0.020,0.904,107.849,50.903,28.503
0.428,0.074,0.808,112.244,67.993,27.344
0.424,0.231,0.732,100.037,75.989,28.198
0.316,0.099,0.839,69.641,76.233,47.607
0.409,0.070,0.929,45.410,61.890,72.205
0.384,0.171,0.920,40.833,42.725,87.158
0.422,0.176,0.879,37.354,21.729,81.604
0.459,0.074,0.967,30.579,7.141,63.354
0.377,0.081,0.980,20.996,1.648,46.326
0.341,0.120,0.952,9.766,4.211,37.170
0.350,0.051,0.894,-4.150,13.977,37.476
0.392,0.016,0.868,-22.766,20.996,38.574
0.396,-0.005,0.910,-40.710,22.461,38.330
0.437,0.007,0.912,-52.124,23.071,37.537
0.428,0.033,0.930,-56.396,18.860,35.278
0.336,0.163,1.091,-53.833,13.489,30.884
0.385,0.363,1.036,-43.091,20.569,21.484
0.412,0.353,1.139,-17.700,34.058,7.996
0.461,0.248,0.966,13.000,53.284,0.854
0.464,0.120,0.862,24.292,63.477,-1.831
0.465,0.103,0.839,21.545,58.472,-0.488
0.454,0.136,0.835,12.451,51.758,-0.122
0.462,0.150,0.819,3.296,45.898,-1.892
0.507,0.180,0.836,2.014,40.894,-2.808
0.552,0.213,0.819,5.493,34.180,-3.967
0.554,0.212,0.814,11.047,25.513,-6.592
0.558,0.202,0.787,15.320,15.808,-7.629
0.529,0.139,0.693,11.230,8.728,-8.301
0.514,0.169,0.610,-3.845,4.456,-8.057
0.555,0.215,0.566,-31.555,5.127,-9.460
0.571,0.234,0.626,-64.453,6.409,-13.916
0.549,0.242,0.757,-90.332,6.775,-18.799
0.498,0.244,0.987,-101.501,7.080,-22.034
0.482,0.189,1.059,-90.210,15.381,-19.897
0.464,0.157,0.893,-64.758,21.545,-12.634
0.463,0.172,0.852,-43.762,14.221,-8.423
0.462,0.173,0.834,-28.992,5.615,-4.883
0.500,0.175,0.710,-21.606,-0.488,-1.404
0.513,0.221,0.670,-26.917,-9.094,-1.343
0.500,0.239,0.724,-38.574,-21.057,-4.944
0.453,0.191,0.817,-46.753,-31.372,-8.118
0.419,0.148,0.894,-48.096,-33.142,-8.606
0.406,0.140,0.932,-42.542,-32.043,-7.324
0.399,0.156,0.901,-32.776,-28.503,-4.822
0.393,0.190,0.867,-21.912,-29.907,-2.869
0.369,0.180,0.835,-12.878,-34.180,-1.282
0.400,0.213,0.874,-5.798,-39.734,1.648
0.382,0.225,0.945,-0.916,-44.800,3.662
0.386,0.223,0.973,8.057,-41.870,5.310
0.385,0.202,0.925,20.813,-37.231,6.165
0.407,0.192,0.859,27.588,-36.133,5.127
0.415,0.180,0.792,22.583,-35.217,1.343
0.361,0.193,0.784,7.202,-31.250,-3.418
0.337,0.191,0.831,-7.690,-22.034,-7.263
0.362,0.182,0.878,-11.902,-11.902,-8.118
0.369,0.185,0.885,-7.385,-6.897,-6.714
0.350,0.183,0.867,0.610,-7.019,-4.333
0.359,0.201,0.827,8.057,-8.606,-1.648
0.352,0.216,0.790,13.672,-10.681,1.221
0.347,0.205,0.785,20.020,-14.893,4.089
0.366,0.163,0.793,24.841,-19.165,6.836
0.367,0.152,0.809,25.269,-24.841,7.751
0.381,0.169,0.812,21.301,-30.090,7.141
0.378,0.203,0.821,12.512,-32.715,4.395
0.359,0.219,0.845,3.357,-31.616,0.854
0.342,0.195,0.870,-0.732,-28.442,-0.854
0.325,0.169,0.894,-0.793,-26.123,0.427
0.303,0.151,0.901,1.770,-26.001,4.211
0.291,0.135,0.903,6.165,-27.649,10.132
0.283,0.143,0.917,13.245,-29.053,16.602
0.319,0.173,0.890,23.132,-29.602,22.461
0.324,0.182,0.879,30.823,-32.227,24.414
0.318,0.176,0.898,34.729,-35.522,22.949
0.314,0.163,0.880,33.813,-36.133,20.264
0.288,0.163,0.905,21.973,-32.104,15.686
0.269,0.165,0.955,7.141,-21.729,10.498
0.254,0.155,0.997,-0.854,-12.085,8.301
0.228,0.141,1.014,0.122,-6.592,10.010
0.226,0.113,1.009,7.629,-4.700,14.893
0.234,0.119,0.994,15.320,-7.141,19.836
0.230,0.118,1.001,21.790,-10.559,23.315
0.228,0.102,1.009,28.381,-13.611,26.306
0.229,0.085,1.004,33.875,-17.334,29.602
0.237,0.077,1.000,34.912,-18.799,31.982
0.253,0.084,0.968,29.663,-15.259,31.799
0.253,0.114,0.962,18.738,-10.376,29.907
0.263,0.128,0.972,9.277,-3.418,28.381
0.303,0.141,0.991,4.639,2.686,28.259
0.314,0.152,1.005,3.845,4.578,27.893
0.290,0.141,1.033,7.324,3.052,27.344
0.270,0.109,1.049,13.550,2.441,29.358
0.269,0.070,1.041,19.897,5.371,33.875
0.304,0.060,0.997,22.034,10.254,38.391
0.334,0.093,0.973,17.395,13.184,38.879
0.343,0.146,0.981,9.277,14.954,35.767
0.365,0.172,0.970,3.906,16.724,32.104
0.374,0.182,0.950,-0.305,17.456,27.222
0.362,0.197,0.960,-5.615,17.639,21.301
0.334,0.180,0.968,-9.033,19.531,16.907
0.318,0.143,0.959,-11.169,23.499,15.808
0.325,0.137,0.937,-14.404,28.015,17.395
0.235,0.115,0.875,-19.165,31.189,19.226
0.407,0.224,0.961,-25.391,38.086,21.606

0.380,0.876,1.704,50.476,-40.649,190.002
0.461,0.962,1.792,52.490,-20.142,185.547
0.689,1.077,1.833,49.744,5.981,174.133
0.834,1.178,1.826,46.692,25.330,145.264
0.861,1.175,1.780,48.401,36.194,100.037
0.788,1.124,1.703,47.668,44.739,54.138
0.717,1.035,1.625,43.213,57.068,18.677
0.693,0.958,1.552,38.879,75.745,-6.165
0.667,0.917,1.513,35.461,93.445,-24.719
0.628,0.881,1.485,36.560,105.591,-39.307
0.582,0.835,1.429,43.823,113.342,-49.438
0.560,0.796,1.361,54.077,120.667,-56.152
0.552,0.764,1.286,63.171,127.991,-61.707
0.527,0.721,1.201,70.496,135.437,-69.153
0.524,0.637,1.057,76.233,142.761,-79.712
0.525,0.596,0.916,74.158,147.339,-92.712
0.482,0.576,0.795,61.157,146.973,-108.948
0.410,0.526,0.729,45.349,145.935,-127.930
0.338,0.423,0.702,34.302,145.874,-147.583
0.272,0.281,0.694,30.212,145.691,-163.208
0.226,0.135,0.686,31.677,145.081,-171.631
0.184,-0.002,0.640,38.086,141.907,-173.340
0.154,-0.128,0.569,47.058,137.085,-169.922
0.142,-0.234,0.465,53.955,132.019,-164.307
0.140,-0.294,0.388,54.688,127.197,-157.837
0.127,-0.328,0.332,51.208,121.460,-151.184
0.098,-0.381,0.295,47.180,113.525,-146.118
0.073,-0.466,0.254,42.480,107.300,-142.700
0.047,-0.570,0.196,35.767,105.957,-140.381
0.007,-0.686,0.102,23.499,108.154,-139.832
-0.032,-0.778,0.045,5.554,111.572,-139.099
-0.051,-0.861,0.028,-14.465,113.220,-134.827
-0.043,-0.937,0.047,-32.043,108.521,-124.023
-0.009,-1.000,0.098,-43.701,95.337,-106.567
0.025,-1.045,0.157,-48.218,78.064,-84.473
0.068,-1.065,0.212,-47.424,60.059,-59.082
0.131,-1.046,0.237,-42.969,41.077,-32.227
0.166,-0.979,0.248,-36.926,19.958,-7.019
0.175,-0.897,0.262,-31.616,-3.601,15.686
0.191,-0.830,0.291,-27.466,-25.085,36.499
0.231,-0.766,0.349,-25.085,-40.344,53.772
0.276,-0.698,0.418,-25.146,-49.988,67.200
0.324,-0.630,0.478,-25.818,-56.519,77.026
0.372,-0.559,0.519,-26.245,-60.059,83.130
0.419,-0.499,0.545,-25.513,-60.669,85.266
0.470,-0.457,0.574,-25.574,-59.875,84.351
0.504,-0.417,0.607,-29.358,-59.998,81.726
0.522,-0.370,0.664,-35.339,-60.547,78.918
0.530,-0.310,0.738,-40.466,-59.814,78.369
0.539,-0.243,0.818,-42.297,-58.838,80.383
0.550,-0.189,0.892,-40.405,-56.396,84.534
0.582,-0.165,0.958,-34.607,-50.842,89.661
0.627,-0.115,1.002,-27.405,-45.166,94.604
0.673,-0.037,1.016,-19.348,-40.405,96.802
0.711,0.026,0.986,-10.315,-37.109,93.384
0.715,0.079,0.937,-1.465,-38.391,84.534
