aX,aY,aZ,gX,gY,gZ
0.982,1.111,0.704,-6.775,0.793,39.124
0.960,1.139,0.773,-5.005,-5.615,17.090
0.894,1.108,0.825,-2.136,-7.263,-4.456
0.827,1.056,0.844,0.732,-5.005,-22.156
0.775,0.998,0.834,1.526,0.488,-36.072
0.708,0.960,0.808,0.000,7.629,-48.767
0.635,0.888,0.804,-2.625,14.526,-62.134
0.557,0.771,0.810,-6.897,18.738,-73.792
0.468,0.656,0.818,-14.099,21.667,-83.679
0.336,0.561,0.837,-23.865,25.940,-92.773
0.328,0.440,0.850,-32.898,32.654,-104.675
0.259,0.304,0.879,-39.551,38.147,-112.183
0.198,0.177,0.905,-45.715,39.368,-117.737
0.112,0.039,0.948,-48.462,39.612,-122.620
0.061,-0.165,0.975,-48.523,36.072,-126.404
0.015,-0.412,1.072,-46.082,35.278,-128.235
-0.020,-0.664,1.165,-45.349,38.696,-130.249
-0.093,-0.892,1.257,-48.706,46.387,-135.803
-0.217,-1.080,1.335,-53.589,53.955,-146.240
-0.438,-1.280,1.370,-53.955,55.237,-157.471
-0.668,-1.505,1.402,-48.218,52.551,-162.537
-0.825,-1.738,1.442,-35.950,49.011,-157.532
-0.921,-1.917,1.417,-16.052,44.373,-139.832
-0.922,-2.045,1.321,6.592,41.626,-110.535
-0.854,-2.114,1.206,25.085,38.818,-73.059
-0.774,-2.054,1.120,36.133,33.936,-31.921
-0.678,-1.937,1.072,44.556,29.114,9.949
-0.593,-1.774,1.043,52.429,21.851,53.406
-0.512,-1.593,1.017,63.354,13.733,97.595
-0.408,-1.365,0.967,76.355,4.883,141.113
-0.266,-1.010,0.905,87.830,-3.845,183.960
-0.043,-0.563,0.865,98.572,-12.268,222.839
0.225,-0.117,0.773,110.046,-23.682,249.146
0.466,0.297,0.706,117.737,-36.804,256.592
0.646,0.586,0.703,114.685,-48.035,247.437
0.781,0.739,0.769,100.769,-52.612,229.248
0.872,0.848,0.815,83.069,-49.255,207.397
0.916,0.998,0.870,63.660,-43.518,185.791
0.952,1.176,0.917,47.546,-37.659,166.565
1.003,1.358,0.911,40.771,-32.104,151.062
1.060,1.548,0.858,42.664,-30.701,134.705
1.079,1.664,0.775,47.791,-32.349,116.638
1.130,1.758,0.700,48.950,-33.569,96.619
1.162,1.825,0.642,44.189,-36.560,71.350
1.127,1.792,0.630,35.889,-41.138,40.283
1.045,1.697,0.630,27.527,-44.983,9.338
0.932,1.597,0.603,19.531,-44.800,-17.761
0.803,1.496,0.571,9.216,-41.138,-41.992
0.689,1.362,0.558,-6.348,-32.776,-64.331
0.559,1.192,0.562,-27.405,-20.081,-85.571
0.417,1.016,0.572,-53.955,-1.892,-104.431
0.338,0.863,0.582,-83.191,21.179,-117.615
0.309,0.725,0.561,-109.192,42.358,-125.427
0.360,0.582,0.554,-128.052,54.504,-131.409
0.428,0.398,0.578,-137.085,53.894,-138.428
0.453,0.147,0.642,-136.353,39.978,-148.010
0.397,-0.167,0.807,-130.920,16.907,-158.936
0.175,-0.507,1.072,-126.282,-9.338,-168.640
-0.140,-0.865,1.398,-125.244,-29.663,-175.354
-0.504,-1.213,1.704,-128.052,-36.682,-178.650
-0.821,-1.549,2.004,-132.263,-25.513,-176.758
-1.022,-1.907,2.193,-132.629,-0.427,-166.931
-1.119,-2.191,2.344,-125.732,27.405,-146.362
-1.157,-2.414,2.322,-98.389,40.405,-110.291
-1.164,-2.464,2.189,-58.899,43.091,-62.744
-1.099,-2.478,2.071,-24.780,37.170,-7.324
-1.029,-2.358,1.993,6.042,27.527,47.424
-0.971,-2.136,1.886,34.790,19.287,99.121
-0.896,-1.848,1.728,61.096,17.761,144.165
-0.763,-1.522,1.532,83.679,22.217,182.922
-0.624,-1.174,1.338,97.534,29.846,214.539
-0.432,-0.737,1.211,97.717,35.461,237.000
-0.276,-0.271,1.149,93.689,39.795,250.732
-0.074,0.173,1.143,93.323,40.955,259.033
0.123,0.544,1.093,95.215,37.720,262.878
0.304,0.923,1.083,93.750,36.133,260.071
0.451,1.251,1.030,91.553,37.903,249.878
0.584,1.597,0.912,90.027,44.678,233.826
0.700,1.899,0.710,88.928,50.476,211.121
0.807,2.127,0.550,84.839,46.692,182.556
0.824,2.245,0.294,75.317,32.349,153.076
0.966,2.441,0.196,55.603,24.780,126.831
1.091,2.529,0.134,34.058,16.968,97.534
1.123,2.559,0.140,19.653,7.751,59.326
1.076,2.534,0.136,12.451,-2.319,20.691
1.041,2.446,0.114,11.169,-12.512,-12.756
0.936,2.303,0.098,9.094,-23.254,-44.922
0.820,2.109,0.072,6.775,-30.396,-75.989
0.704,1.859,0.047,1.587,-37.048,-103.149
0.591,1.606,-0.007,-9.216,-39.917,-127.136
0.502,1.369,-0.036,-28.809,-40.039,-147.766
0.413,1.120,0.027,-55.420,-42.419,-165.283
0.380,0.854,0.208,-78.491,-45.166,-181.091
0.371,0.585,0.360,-92.468,-49.438,-192.810
0.317,0.331,0.541,-99.060,-56.702,-203.369
0.208,0.041,0.716,-98.022,-69.763,-213.074
0.059,-0.279,0.882,-90.332,-89.478,-220.886
-0.136,-0.624,1.063,-79.834,-106.934,-226.135
-0.383,-0.952,1.232,-70.679,-125.183,-228.516
-0.556,-1.269,1.424,-61.279,-143.494,-227.234
-0.715,-1.523,1.566,-51.636,-158.691,-224.976
-0.956,-1.884,1.699,-49.744,-167.236,-221.802
-1.134,-2.185,1.963,-51.331,-163.879,-211.731
-1.418,-2.384,2.006,-36.621,-158.875,-192.810
-1.600,-2.503,1.956,-21.484,-142.273,-158.813
-1.680,-2.499,1.859,-13.428,-117.615,-111.084
-1.636,-2.418,1.629,-2.930,-95.642,-52.979
-1.501,-2.169,1.383,5.310,-82.275,5.249
-1.298,-1.862,1.223,2.258,-73.792,56.946
-1.129,-1.537,1.100,-3.723,-65.186,98.267
-0.939,-1.239,1.028,-7.935,-54.443,127.014
-0.820,-0.921,1.001,-12.451,-41.931,146.179
-0.775,-0.619,0.982,-19.348,-27.771,162.170
-0.750,-0.302,1.047,-27.161,-8.911,181.763
-0.603,-0.015,1.040,-28.931,10.742,201.294
-0.383,0.285,0.962,-29.358,28.198,218.872
-0.228,0.717,0.944,-36.743,35.889,227.783
-0.048,1.084,1.009,-40.100,38.574,232.056
0.144,1.332,1.027,-31.006,40.405,228.210

0.433,1.752,1.054,-10.193,29.297,186.462
0.505,1.972,1.138,1.465,19.592,159.058
0.591,2.103,1.005,20.325,6.409,137.329
0.779,2.294,0.891,37.537,0.183,116.821
0.949,2.392,0.868,44.556,2.014,89.844
0.966,2.463,0.799,46.448,0.671,53.772
0.977,2.448,0.797,48.889,-0.122,19.836
0.933,2.397,0.766,51.697,-2.014,-7.019
0.897,2.215,0.731,54.871,0.610,-31.860
0.841,1.996,0.611,54.626,3.601,-62.073
0.732,1.777,0.602,42.358,11.047,-99.792
0.646,1.524,0.644,20.325,32.043,-139.648
0.555,1.314,0.666,-6.470,57.434,-177.185
0.418,1.131,0.675,-30.334,82.642,-209.106
0.302,0.833,0.685,-44.983,104.309,-230.957
0.231,0.425,0.732,-52.246,113.403,-243.530
0.161,0.018,0.840,-55.420,109.985,-250.977
0.034,-0.345,0.983,-55.481,95.642,-254.822
-0.224,-0.759,1.129,-51.941,72.388,-255.676
-0.571,-1.117,1.219,-47.913,50.293,-250.244
-0.909,-1.441,1.331,-50.781,35.645,-243.469
-1.220,-1.677,1.547,-66.833,29.724,-237.793
-1.515,-2.060,1.654,-79.285,33.142,-219.543
-1.612,-2.393,1.834,-69.580,40.833,-178.833
-1.686,-2.587,1.814,-35.156,36.438,-121.094
-1.744,-2.664,1.744,-0.488,27.771,-48.767
-1.712,-2.677,1.685,23.437,21.118,20.813
-1.431,-2.433,1.628,40.039,20.203,89.600
-1.408,-2.235,1.439,46.692,29.114,139.954
-1.344,-2.013,1.257,53.223,50.964,176.208
-1.161,-1.750,1.014,50.842,71.777,208.984
-0.999,-1.390,0.850,36.072,83.618,235.718
-0.879,-0.898,0.887,19.592,88.135,256.836
-0.757,-0.448,0.940,15.076,86.365,275.146
-0.636,-0.058,1.005,27.893,85.938,297.241
