aX,aY,aZ,gX,gY,gZ
0.154,0.150,2.347,-2.075,42.786,54.993
0.192,0.158,2.318,15.930,62.073,55.603
0.218,0.165,2.230,29.846,82.886,54.382
0.216,0.206,2.106,39.001,103.149,51.025
0.228,0.230,1.990,44.067,123.840,47.058
0.248,0.246,1.875,45.654,141.907,44.128
0.267,0.272,1.754,47.119,154.968,40.405
0.285,0.290,1.630,50.964,165.588,35.217
0.263,0.283,1.496,57.068,172.974,29.602
0.242,0.255,1.344,62.561,178.955,26.306
0.248,0.219,1.198,63.843,185.120,24.536
0.249,0.212,1.088,60.730,189.026,22.156
0.233,0.207,0.998,57.678,188.904,18.677
0.194,0.177,0.898,57.068,186.279,14.526
0.148,0.134,0.799,57.007,182.983,10.681
0.130,0.098,0.701,55.603,180.664,7.690
0.121,0.092,0.580,51.636,178.284,4.211
0.113,0.088,0.514,45.959,175.232,0.000
0.133,0.061,0.466,43.457,168.335,-2.747
0.128,0.009,0.405,44.006,158.203,-4.883
0.093,-0.034,0.335,43.945,148.254,-7.751
0.055,-0.063,0.262,41.748,141.418,-9.094
0.025,-0.073,0.176,37.781,137.390,-9.460
0.001,-0.075,0.082,33.936,133.301,-10.071
-0.017,-0.097,-0.022,32.593,126.343,-10.254
-0.025,-0.142,-0.140,33.020,117.249,-9.705
-0.034,-0.176,-0.274,32.104,107.422,-8.118
-0.011,-0.212,-0.388,28.198,96.436,-4.272
0.027,-0.222,-0.495,22.034,82.642,0.916
0.058,-0.210,-0.565,14.709,65.552,6.958
0.082,-0.178,-0.610,9.338,46.936,12.024
0.092,-0.171,-0.663,7.996,26.367,15.076
0.108,-0.173,-0.727,8.179,4.089,17.883
0.131,-0.176,-0.784,4.089,-16.602,19.531
0.120,-0.145,-0.797,-5.127,-36.499,18.677
0.102,-0.134,-0.765,-14.709,-56.702,16.846
0.090,-0.154,-0.730,-20.874,-75.928,16.541
0.107,-0.165,-0.676,-26.428,-93.079,17.944
0.131,-0.173,-0.613,-31.921,-109.802,19.836
0.151,-0.155,-0.543,-36.072,-127.319,20.935
0.140,-0.139,-0.469,-38.086,-146.606,21.606
0.117,-0.142,-0.378,-40.833,-166.382,22.034
0.105,-0.152,-0.250,-46.570,-184.265,23.193
0.146,-0.148,-0.069,-53.406,-200.928,26.611
0.184,-0.118,0.172,-57.739,-220.215,31.921
0.162,-0.079,0.416,-55.725,-244.507,37.842
0.149,-0.042,0.687,-48.645,-268.372,43.945
0.121,-0.004,1.001,-40.283,-290.649,48.157
0.036,0.004,1.349,-32.776,-308.594,47.913
-0.065,-0.034,1.692,-25.330,-315.186,42.725
-0.153,-0.098,1.936,-18.372,-304.504,36.011
-0.203,-0.142,2.104,-17.517,-277.039,30.334
-0.238,-0.095,2.147,-25.635,-239.746,26.428
-0.199,-0.052,2.308,-35.706,-201.172,23.926
-0.228,-0.051,2.375,-38.879,-188.721,20.386
-0.306,-0.115,2.406,-34.180,-182.983,18.372
-0.391,-0.191,2.486,-29.297,-168.823,17.517
-0.422,-0.262,2.564,-27.527,-146.179,21.179
-0.420,-0.265,2.682,-29.602,-117.798,31.494
-0.395,-0.191,2.765,-31.738,-85.083,46.387
-0.291,-0.096,2.893,-30.334,-53.162,63.171
-0.204,0.004,2.919,-25.024,-28.015,79.834
-0.091,0.099,2.889,-14.526,-0.916,94.116
0.016,0.216,2.797,-3.479,26.306,106.323
0.153,0.352,2.709,8.179,54.932,113.831
0.289,0.490,2.579,21.606,78.979,113.647
0.396,0.581,2.450,32.166,97.107,103.699
0.462,0.619,2.338,33.813,113.831,85.510
0.481,0.586,2.260,28.992,130.798,63.843
0.456,0.522,2.190,21.362,150.269,42.847
0.413,0.458,2.123,13.977,172.302,24.963
0.376,0.392,2.052,10.071,193.115,12.207
0.330,0.331,1.966,9.644,209.351,3.662
0.273,0.294,1.856,11.047,222.473,-2.380
0.209,0.277,1.726,12.756,234.375,-7.019
0.136,0.260,1.590,15.259,243.103,-12.024
0.070,0.227,1.418,17.761,248.901,-17.395
0.030,0.236,1.258,16.052,253.235,-23.437
