Time,Sample,FFT,PSD
405.025389,570.000,391312.000,299072.406250
405.025495,587.000,867.119,1.468547
405.025532,603.000,1045.992,2.136911
405.025570,627.000,713.479,0.994242
405.025608,643.000,976.088,1.860836
405.025645,651.000,1363.841,3.632936
405.025683,682.000,1652.270,5.332023
405.025720,691.000,1916.887,7.176672
405.025758,716.000,2583.351,13.034576
405.025795,727.000,3917.098,29.968082
405.025833,743.000,5919.086,68.428879
405.025870,761.000,13328.006,346.944824
405.025908,761.000,159790.922,49869.410156
405.025946,741.000,12010.149,281.725983
405.025983,727.000,6172.162,74.405441
405.026021,709.000,4650.735,42.244804
405.026058,689.000,3170.137,19.628460
405.026096,676.000,2528.614,12.488062
405.026133,644.000,2593.488,13.137069
405.026199,633.000,1802.316,6.344418
405.026237,610.000,1908.621,7.114912
405.026274,590.000,1173.774,2.690910
405.026312,571.000,1512.040,4.465364
405.026349,554.000,1297.602,3.288615
405.026387,536.000,1200.250,2.813670
405.026424,520.000,1337.068,3.491703
405.026478,496.000,1239.900,3.002640
405.026516,479.000,940.841,1.728871
405.026554,460.000,2027.587,8.029513
405.026591,444.000,1174.840,2.695801
405.026629,428.000,1482.475,4.292447
405.026666,412.000,1253.908,3.070870
405.026704,393.000,1457.605,4.149636
405.026742,374.000,1709.938,5.710716
405.026779,360.000,2114.708,8.734358
405.026817,339.000,5069.622,50.197399
405.026854,318.000,16205.865,512.949341
405.026892,302.000,3123.399,19.053953
405.026929,284.000,1504.669,4.421931
405.026967,273.000,1058.708,2.189186
405.027004,253.000,1080.705,2.281100
405.027042,240.000,898.000,1.575008
405.027080,216.000,728.280,1.035920
405.027117,186.000,768.851,1.154554
405.027183,170.000,608.232,0.722551
405.027220,151.000,541.624,0.572962
405.027257,136.000,739.432,1.067889
405.027295,116.000,521.572,0.531323
405.027332,102.000,697.340,0.949771
405.027370,86.000,573.082,0.641451
405.027407,70.000,586.781,0.672484
405.027445,50.000,623.371,0.758967
405.027494,25.000,1193.661,2.782864
405.027532,9.000,822.878,1.322517
405.027569,0.000,723.238,1.021628
405.027606,15.000,697.216,0.949433
405.027644,34.000,693.076,0.938192
405.027681,54.000,1017.827,2.023382
405.027719,71.000,1365.523,3.641901
405.027757,85.000,3310.176,21.400908
405.027794,101.000,4651.362,42.256195
405.027832,115.000,1212.750,2.872581
405.027869,136.000,540.405,0.570385
405.027907,152.000,512.451,0.512903
405.027944,171.000,323.968,0.204990
405.027982,190.000,147.012,0.042212
405.028020,211.000,280.801,0.154003
405.028057,225.000,245.999,0.118195
405.028095,241.000,341.728,0.228082
405.028132,271.000,141.418,0.039061
405.028198,288.000,215.181,0.090436
405.028235,303.000,270.055,0.142440
405.028272,323.000,208.501,0.084907
405.028310,336.000,78.124,0.011921
405.028347,358.000,135.466,0.035842
405.028385,373.000,223.063,0.097182
405.028422,395.000,327.924,0.210028
405.028460,420.000,375.225,0.274988
405.028514,436.000,33.432,0.002183
405.028552,452.000,48.854,0.004661
405.028589,471.000,159.225,0.049517
405.028627,490.000,301.215,0.177208
405.028665,505.000,385.475,0.290217
405.028702,542.000,1989.615,7.731574
405.028740,538.000,2112.289,8.714387
405.028777,554.000,748.730,1.094915
405.028815,574.000,884.731,1.528808
405.028852,593.000,513.862,0.515731
405.028890,611.000,567.068,0.628058
405.028928,629.000,349.547,0.238639
405.028965,647.000,477.896,0.446064
405.029003,662.000,793.061,1.228411
405.029040,673.000,152.399,0.045362
405.029078,696.000,203.453,0.080846
405.029115,710.000,372.150,0.270499
405.029180,743.000,92.391,0.016672
405.029218,760.000,251.010,0.123059
405.029256,763.000,397.061,0.307925
405.029293,749.000,284.962,0.158600
405.029331,735.000,378.828,0.280295
405.029368,714.000,291.925,0.166445
405.029406,694.000,202.237,0.079882
405.029443,677.000,280.266,0.153416
405.029498,650.000,232.788,0.105840
405.029536,638.000,373.369,0.272274
405.029573,621.000,433.244,0.366602
405.029611,597.000,660.274,0.851487
405.029648,582.000,1843.954,6.640953
405.029686,560.000,880.936,1.515718
405.029723,548.000,247.923,0.120051
405.029761,534.000,246.489,0.118666
405.029799,515.000,380.492,0.282762
405.029836,496.000,153.533,0.046040
405.029874,479.000,162.853,0.051799
405.029911,460.000,228.812,0.102255
405.029949,443.000,240.587,0.113051
405.029986,425.000,208.700,0.085069
405.030024,393.000,150.731,0.044375
405.030062,391.000,11.116,0.000241
405.030099,376.000,225.418,0.099244
405.030137,362.000,190.973,0.071232
405.030201,330.000,215.132,0.090394
405.030239,307.000,297.099,0.172398
405.030276,291.000,126.729,0.031367
405.030314,275.000,151.003,0.044535
405.030351,256.000,276.124,0.148915
405.030389,237.000,152.217,0.045254
405.030426,221.000,287.045,0.160927
405.030464,209.000,250.059,0.122128
405.030512,180.000,455.466,0.405174
405.030550,164.000,299.120,0.174752
405.030587,148.000,1582.507,4.891269
405.030625,130.000,193.346,0.073013
405.030663,112.000,202.913,0.080418
405.030700,92.000,10.738,0.000225
405.030738,79.000,178.147,0.061985
405.030775,69.000,102.940,0.020697
405.030813,49.000,292.797,0.167442
405.030850,29.000,135.083,0.035640
405.030888,10.000,211.711,0.087542
405.030925,0.000,186.117,0.067655
405.030962,16.000,109.061,0.023231
405.031000,30.000,236.624,0.109357
405.031038,51.000,286.419,0.160226
405.031075,67.000,157.235,0.048287
405.031113,89.000,309.383,0.186949
405.031150,107.000,167.818,0.055006
405.031214,134.000,577.444,0.651253
405.031252,145.000,235.081,0.107936
405.031289,165.000,144.007,0.040504
405.031327,183.000,268.922,0.141248
405.031364,200.000,218.995,0.093669
405.031402,207.000,108.750,0.023099
405.031439,243.000,93.028,0.016903
405.031477,261.000,188.190,0.069171
405.031531,275.000,770.836,1.160524
405.031569,295.000,151.410,0.044776
405.031607,316.000,129.341,0.032674
405.031644,334.000,146.535,0.041938
405.031682,383.000,139.833,0.038190
405.031719,369.000,258.615,0.130628
405.031757,383.000,140.778,0.038708
405.031795,400.000,329.207,0.211674
405.031832,415.000,310.074,0.187785
405.031870,439.000,149.374,0.043579
405.031907,457.000,230.598,0.103858
405.031945,474.000,183.287,0.065614
405.031982,494.000,112.565,0.024748
405.032020,507.000,273.487,0.146084
405.032057,522.000,106.075,0.021976
405.032095,537.000,191.921,0.071941
405.032133,558.000,497.835,0.484062
