aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.455476,0.030120,0.456471,0.379791,0.574295,0.000000,0.000000,0.482991,0.113073,0.496050,0.042236,0.649551,0.000000,0.000005,0.633806,0.130854,0.647173,0.381607,0.931488,0.000000,0.000010,0.493514,0.014913,0.493739,0.455032,0.534546,0.000000,0.000000,0.501991,0.030642,0.502925,0.436279,0.555054,0.000000,0.000001,0.503299,0.027282,0.504038,0.453568,0.550293,0.000000,0.000000
0.466633,0.038440,0.468214,0.362228,0.547867,0.000000,0.000001,0.475882,0.110709,0.488590,0.095810,0.648499,0.000000,0.000006,0.619805,0.145737,0.636708,0.373215,0.999939,0.000000,0.000015,0.495355,0.011703,0.495493,0.461365,0.513016,0.000000,0.000000,0.500859,0.029152,0.501707,0.431610,0.544708,0.000000,0.000000,0.499553,0.026102,0.500235,0.446091,0.555954,0.000000,0.000000
0.460994,0.032632,0.462147,0.326416,0.509354,0.000000,0.000000,0.472177,0.122802,0.487885,0.002335,0.585098,0.000000,0.000005,0.620604,0.139756,0.636146,0.358292,0.964157,0.000000,0.000011,0.493576,0.008749,0.493654,0.470917,0.515366,0.000000,0.000000,0.499047,0.036990,0.500416,0.396103,0.551285,0.000000,0.000001,0.501163,0.025231,0.501797,0.436188,0.545654,0.000000,0.000000
0.457790,0.051128,0.460636,0.258499,0.525940,0.000000,0.000001,0.484999,0.104506,0.496130,0.049454,0.609161,0.000000,0.000004,0.626003,0.160357,0.646215,0.299576,0.999939,0.000000,0.000013,0.492788,0.012860,0.492956,0.445236,0.509140,0.000000,0.000000,0.501554,0.038388,0.503021,0.370804,0.553482,0.000000,0.000001,0.500010,0.023672,0.500571,0.452454,0.543793,0.000000,0.000000
0.445641,0.035802,0.447077,0.361038,0.501556,0.000000,0.000001,0.469635,0.118282,0.484301,0.087143,0.623795,0.000000,0.000008,0.625333,0.163323,0.646309,0.340714,0.999939,0.000000,0.000017,0.493924,0.010173,0.494029,0.474213,0.518616,0.000000,0.000000,0.500608,0.034683,0.501808,0.410263,0.551880,0.000000,0.000001,0.499802,0.026570,0.500508,0.446671,0.546829,0.000000,0.000001
0.442305,0.057134,0.445980,0.351227,0.545471,0.000000,0.000003,0.437670,0.160583,0.466200,0.094116,0.817108,0.000000,0.000015,0.595467,0.130592,0.609619,0.334778,0.852356,0.000000,0.000009,0.503394,0.020834,0.503825,0.468491,0.570419,0.000000,0.000000,0.504091,0.026484,0.504786,0.440201,0.557358,0.000000,0.000000,0.501711,0.028372,0.502513,0.460693,0.559006,0.000000,0.000000
0.433122,0.035094,0.434542,0.365540,0.484344,0.000000,0.000001,0.478975,0.126475,0.495392,0.083664,0.692291,0.000000,0.000008,0.621251,0.146201,0.638223,0.370911,0.999939,0.000000,0.000013,0.492051,0.008207,0.492120,0.474121,0.505493,0.000000,0.000000,0.500950,0.033401,0.502062,0.426804,0.557327,0.000000,0.000001,0.503471,0.027858,0.504241,0.452408,0.544846,0.000000,0.000000
0.438236,0.028203,0.439143,0.354065,0.484451,0.000000,0.000000,0.485690,0.121131,0.500567,0.079880,0.621155,0.000000,0.000007,0.616049,0.131571,0.629942,0.390717,0.907700,0.000000,0.000009,0.491966,0.017702,0.492284,0.457703,0.538483,0.000000,0.000000,0.499969,0.036110,0.501271,0.409622,0.549561,0.000000,0.000001,0.495492,0.023763,0.496061,0.446503,0.540085,0.000000,0.000000
0.436526,0.027667,0.437402,0.380188,0.499146,0.000000,0.000000,0.471936,0.093561,0.481121,0.124329,0.567093,0.000000,0.000004,0.617818,0.134646,0.632320,0.359924,0.909012,0.000000,0.000011,0.490391,0.008789,0.490470,0.467331,0.510849,0.000000,0.000000,0.500616,0.038152,0.502068,0.415558,0.562317,0.000000,0.000001,0.496796,0.024982,0.497424,0.447418,0.547485,0.000000,0.000000
0.439818,0.033940,0.441126,0.366913,0.506729,0.000000,0.000000,0.461784,0.088449,0.470178,0.098068,0.544861,0.000000,0.000003,0.616933,0.146277,0.634037,0.335556,0.917542,0.000000,0.000012,0.493216,0.010130,0.493320,0.474686,0.512131,0.000000,0.000000,0.499596,0.036450,0.500923,0.407013,0.560776,0.000000,0.000001,0.499455,0.023127,0.499990,0.443893,0.533310,0.000000,0.000000
