aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.506077,0.064612,0.510185,0.149689,0.562180,0.000073,0.000849,0.514490,0.039060,0.515971,0.372467,0.645813,0.000027,0.000309,0.624573,0.057523,0.627216,0.557571,0.946793,0.000058,0.000742,0.492260,0.015495,0.492504,0.462479,0.550934,0.000004,0.000094,0.500092,0.017346,0.500392,0.473038,0.539612,0.000005,0.000215,0.490648,0.011654,0.490786,0.471893,0.515915,0.000002,0.000050
0.468977,0.137717,0.488779,0.034988,0.618042,0.000330,0.005790,0.637815,0.077870,0.642551,0.523407,0.877686,0.000106,0.002327,0.474405,0.229239,0.526888,0.038712,0.999939,0.000915,0.019396,0.503062,0.015444,0.503299,0.476532,0.542831,0.000004,0.000074,0.496828,0.069169,0.501620,0.433350,0.683456,0.000083,0.002907,0.501712,0.027177,0.502448,0.467712,0.595825,0.000013,0.000339
0.423708,0.139605,0.446114,0.082321,0.553040,0.000339,0.009877,0.624695,0.072639,0.628904,0.511063,0.806244,0.000092,0.002829,0.489467,0.243340,0.546619,0.119492,0.999939,0.001031,0.029429,0.507087,0.012729,0.507247,0.481491,0.546371,0.000003,0.000054,0.518300,0.073886,0.523540,0.436264,0.673477,0.000095,0.001981,0.503795,0.024231,0.504377,0.468857,0.565002,0.000010,0.000182
0.392692,0.144149,0.418313,0.028610,0.537750,0.000362,0.010666,0.621297,0.088902,0.627626,0.491837,0.859222,0.000138,0.003025,0.505242,0.248417,0.563011,0.116837,0.999939,0.001074,0.024772,0.508464,0.013207,0.508636,0.481964,0.549957,0.000003,0.000047,0.518313,0.082478,0.524834,0.412109,0.689987,0.000118,0.002989,0.506249,0.031219,0.507210,0.457718,0.596771,0.000017,0.000319
0.410501,0.170191,0.444382,0.000061,0.553375,0.000504,0.011951,0.621388,0.073842,0.625760,0.431244,0.833755,0.000095,0.001645,0.487136,0.275486,0.559638,0.000061,0.999939,0.001321,0.030328,0.502261,0.015108,0.502488,0.471802,0.538071,0.000004,0.000074,0.512508,0.082411,0.519092,0.431320,0.734711,0.000118,0.003397,0.500882,0.022508,0.501388,0.460937,0.576797,0.000009,0.000125
0.396124,0.161851,0.427913,0.000061,0.535400,0.000456,0.010262,0.614943,0.067114,0.618594,0.506104,0.829453,0.000078,0.002389,0.493234,0.261398,0.558219,0.048935,0.999939,0.001189,0.032132,0.503939,0.015171,0.504167,0.449020,0.538681,0.000004,0.000050,0.522687,0.086317,0.529767,0.436142,0.738739,0.000130,0.004060,0.500723,0.022649,0.501235,0.467834,0.561996,0.000009,0.000177
0.401776,0.142074,0.426157,0.005493,0.525681,0.000351,0.008354,0.605227,0.066480,0.608867,0.506592,0.804260,0.000077,0.001868,0.548277,0.236282,0.597023,0.000061,0.942535,0.000972,0.020675,0.501559,0.018181,0.501888,0.455154,0.560944,0.000006,0.000081,0.512666,0.076560,0.518351,0.433945,0.737839,0.000102,0.002059,0.498193,0.020279,0.498606,0.468246,0.554123,0.000007,0.000112
0.490510,0.121118,0.505242,0.045227,0.585220,0.000255,0.003499,0.607933,0.043525,0.609489,0.495468,0.769882,0.000033,0.000443,0.510114,0.183974,0.542276,0.069931,0.999939,0.000589,0.010225,0.503999,0.011859,0.504138,0.460831,0.533463,0.000002,0.000026,0.496336,0.049551,0.498803,0.462021,0.673370,0.000043,0.000861,0.500471,0.017531,0.500778,0.443878,0.576431,0.000005,0.000047
0.448636,0.159198,0.476044,0.043808,0.586624,0.000441,0.015526,0.583241,0.060130,0.586332,0.446335,0.737076,0.000063,0.000860,0.563641,0.210583,0.601695,0.036819,0.999939,0.000772,0.011970,0.496473,0.033670,0.497613,0.423523,0.556122,0.000020,0.000722,0.516656,0.068147,0.521131,0.427094,0.698059,0.000081,0.001851,0.495032,0.021655,0.495506,0.455109,0.572189,0.000008,0.000096
0.463305,0.131494,0.481603,0.000092,0.550552,0.000301,0.006884,0.609935,0.058130,0.612699,0.403366,0.770477,0.000059,0.000792,0.509132,0.178704,0.539583,0.105682,0.999939,0.000556,0.010953,0.505652,0.014477,0.505859,0.435089,0.541519,0.000004,0.000034,0.494219,0.063351,0.498263,0.446075,0.691650,0.000070,0.001560,0.499654,0.023486,0.500205,0.478607,0.604279,0.000010,0.000191
0.412800,0.157217,0.441725,0.049194,0.573273,0.000430,0.012872,0.610442,0.062893,0.613673,0.514252,0.820648,0.000069,0.001247,0.515879,0.225097,0.562850,0.087555,0.913437,0.000882,0.018912,0.504395,0.011234,0.504520,0.482681,0.533676,0.000002,0.000029,0.522282,0.082269,0.528722,0.424500,0.686569,0.000118,0.004472,0.500308,0.021919,0.500788,0.474457,0.563171,0.000008,0.000164
0.462145,0.115745,0.476419,0.091354,0.548981,0.000233,0.006631,0.603032,0.043515,0.604600,0.483521,0.702927,0.000033,0.000974,0.517734,0.170814,0.545185,0.072220,0.915237,0.000508,0.010135,0.503800,0.011868,0.503940,0.476791,0.534088,0.000002,0.000055,0.493575,0.070124,0.498531,0.436646,0.709335,0.000086,0.002600,0.494571,0.010372,0.494680,0.479370,0.533310,0.000002,0.000035
0.439134,0.158491,0.466860,0.000061,0.634384,0.000437,0.007476,0.599712,0.072825,0.604117,0.491821,0.910080,0.000092,0.001791,0.566894,0.218770,0.607642,0.000061,0.999939,0.000832,0.019016,0.502836,0.011367,0.502964,0.480911,0.539749,0.000002,0.000049,0.497060,0.057171,0.500337,0.443802,0.700272,0.000057,0.001119,0.498029,0.016219,0.498293,0.474213,0.558350,0.000005,0.000083
