aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.538582,0.010623,0.538687,0.510178,0.572098,0.000002,0.000028,0.480242,0.024191,0.480851,0.425247,0.530853,0.000010,0.000317,0.609090,0.015898,0.609297,0.577545,0.678009,0.000004,0.000064,0.509962,0.012856,0.510124,0.480042,0.538757,0.000003,0.000073,0.497912,0.007560,0.497970,0.478989,0.514313,0.000001,0.000017,0.510928,0.009472,0.511016,0.489197,0.531891,0.000002,0.000056
0.503148,0.067434,0.507647,0.304443,0.593842,0.000079,0.002156,0.389717,0.045361,0.392348,0.251343,0.489410,0.000036,0.000780,0.529080,0.173914,0.556931,0.184235,0.868378,0.000526,0.014877,0.497345,0.015339,0.497582,0.461853,0.519150,0.000004,0.000103,0.505850,0.048713,0.508191,0.447342,0.634537,0.000041,0.001045,0.496515,0.013020,0.496686,0.453247,0.514053,0.000003,0.000064
0.493670,0.076751,0.499600,0.261902,0.585937,0.000103,0.003224,0.381589,0.051463,0.385044,0.235962,0.489044,0.000046,0.001107,0.539227,0.178881,0.568124,0.155731,0.916931,0.000557,0.011039,0.494557,0.016892,0.494845,0.456909,0.516220,0.000005,0.000252,0.511613,0.048726,0.513929,0.472580,0.655884,0.000041,0.001386,0.495381,0.011202,0.495507,0.458405,0.504913,0.000002,0.000039
0.485580,0.076254,0.491531,0.242508,0.578156,0.000101,0.002222,0.385110,0.063211,0.390263,0.209656,0.547119,0.000069,0.001660,0.537434,0.184047,0.568074,0.085571,0.933365,0.000589,0.014059,0.494109,0.012777,0.494274,0.461441,0.517700,0.000003,0.000050,0.514327,0.050939,0.516843,0.467987,0.660751,0.000045,0.001423,0.495392,0.014059,0.495592,0.444550,0.507935,0.000003,0.000061
0.502239,0.057567,0.505527,0.364716,0.586884,0.000058,0.002086,0.413650,0.096407,0.424736,0.140701,0.612106,0.000162,0.002962,0.590301,0.115418,0.601479,0.333618,0.836884,0.000232,0.003548,0.495554,0.016688,0.495835,0.459747,0.517838,0.000005,0.000222,0.507397,0.035239,0.508619,0.468475,0.600174,0.000022,0.000822,0.493408,0.025429,0.494063,0.426086,0.518417,0.000011,0.000358
0.495351,0.087947,0.503097,0.237778,0.637711,0.000135,0.003670,0.424056,0.115011,0.439376,0.154282,0.710266,0.000230,0.006219,0.585983,0.141171,0.602748,0.231476,0.928665,0.000347,0.008040,0.507162,0.017357,0.507459,0.470261,0.534576,0.000005,0.000219,0.512571,0.039805,0.514115,0.480179,0.654541,0.000028,0.000801,0.495136,0.028798,0.495973,0.423111,0.525604,0.000014,0.000514
0.519318,0.070531,0.524086,0.293884,0.581100,0.000087,0.002369,0.391942,0.048706,0.394957,0.227142,0.524872,0.000041,0.000596,0.536475,0.150393,0.557157,0.132278,0.907837,0.000394,0.009275,0.496230,0.011213,0.496357,0.465500,0.525238,0.000002,0.000033,0.509574,0.040452,0.511177,0.466766,0.652878,0.000028,0.000758,0.499104,0.010245,0.499209,0.462875,0.511505,0.000002,0.000045
0.520179,0.088682,0.527685,0.275681,0.632156,0.000137,0.003398,0.405906,0.059146,0.410193,0.201263,0.505951,0.000061,0.001055,0.558770,0.158263,0.580751,0.200867,0.872803,0.000436,0.008877,0.498831,0.007206,0.498883,0.479691,0.512390,0.000001,0.000014,0.505510,0.031811,0.506510,0.470139,0.605637,0.000018,0.000269,0.498228,0.015173,0.498459,0.452744,0.520294,0.000004,0.000052
0.535496,0.069653,0.540007,0.248230,0.592850,0.000084,0.001574,0.389315,0.051361,0.392689,0.257538,0.543335,0.000046,0.000693,0.504615,0.135049,0.522374,0.257477,0.896179,0.000317,0.005980,0.500591,0.007563,0.500648,0.483673,0.532974,0.000001,0.000014,0.497839,0.027506,0.498598,0.475769,0.599167,0.000013,0.000269,0.501573,0.013814,0.501763,0.452866,0.532135,0.000003,0.000045
0.512419,0.081057,0.518791,0.252548,0.594040,0.000114,0.002041,0.392331,0.082101,0.400829,0.164215,0.545959,0.000117,0.002156,0.549166,0.143294,0.567554,0.246063,0.848587,0.000357,0.006435,0.497465,0.009125,0.497549,0.477005,0.512955,0.000001,0.000024,0.505206,0.027681,0.505964,0.479172,0.590576,0.000013,0.000404,0.499405,0.021724,0.499878,0.426682,0.518677,0.000008,0.000135
