aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.472917,0.108997,0.485315,0.215591,0.612411,0.000000,0.000007,0.491816,0.303092,0.577709,0.000061,0.999939,0.000002,0.000053,0.616170,0.105663,0.625164,0.389420,0.999939,0.000000,0.000005,0.499322,0.019157,0.499689,0.421524,0.547531,0.000000,0.000000,0.505036,0.016290,0.505298,0.462967,0.543869,0.000000,0.000000,0.496773,0.060488,0.500442,0.346588,0.622330,0.000000,0.000002
0.367701,0.152500,0.398071,0.011093,0.673187,0.000000,0.000009,0.504579,0.367798,0.624400,0.000061,0.999939,0.000002,0.000124,0.578675,0.224524,0.620706,0.000061,0.999939,0.000001,0.000032,0.495656,0.032670,0.496731,0.422470,0.598404,0.000000,0.000000,0.499229,0.044644,0.501221,0.388626,0.593674,0.000000,0.000001,0.502725,0.115329,0.515784,0.264069,0.694565,0.000000,0.000011
0.490281,0.219637,0.537230,0.163528,0.963608,0.000001,0.000027,0.448856,0.344331,0.565717,0.000061,0.999939,0.000002,0.000092,0.477297,0.107430,0.489238,0.247086,0.821487,0.000000,0.000003,0.508263,0.038678,0.509733,0.428940,0.620773,0.000000,0.000001,0.500562,0.022738,0.501078,0.436356,0.543854,0.000000,0.000000,0.504262,0.091618,0.512518,0.315125,0.622162,0.000000,0.000007
0.485313,0.195299,0.523135,0.222305,0.990417,0.000001,0.000033,0.466707,0.372222,0.596963,0.000061,0.999939,0.000002,0.000140,0.529277,0.201022,0.566166,0.139938,0.977371,0.000001,0.000017,0.494112,0.044082,0.496075,0.424622,0.621445,0.000000,0.000000,0.490717,0.032954,0.491822,0.422943,0.582199,0.000000,0.000000,0.500293,0.079521,0.506574,0.306046,0.606537,0.000000,0.000006
0.428110,0.155367,0.455430,0.206863,0.757156,0.000000,0.000021,0.484212,0.408598,0.633572,0.000061,0.999939,0.000003,0.000179,0.579684,0.279530,0.643561,0.000061,0.999939,0.000001,0.000071,0.503904,0.040202,0.505506,0.412643,0.606247,0.000000,0.000001,0.502192,0.045386,0.504239,0.408264,0.605835,0.000000,0.000002,0.500012,0.078926,0.506203,0.348923,0.617676,0.000000,0.000006
0.483061,0.232362,0.536041,0.216782,0.944397,0.000001,0.000047,0.450589,0.392544,0.597597,0.000061,0.999939,0.000003,0.000146,0.477965,0.080609,0.484715,0.312057,0.674469,0.000000,0.000002,0.508342,0.020962,0.508774,0.472733,0.571945,0.000000,0.000000,0.503097,0.015493,0.503336,0.473160,0.537476,0.000000,0.000000,0.495174,0.087007,0.502760,0.352539,0.614716,0.000000,0.000007
0.434983,0.230310,0.492192,0.145004,0.939667,0.000001,0.000054,0.478960,0.392179,0.619037,0.000061,0.999939,0.000003,0.000169,0.576298,0.185430,0.605395,0.072006,0.997055,0.000001,0.000022,0.494655,0.029734,0.495548,0.412704,0.571655,0.000000,0.000000,0.487914,0.029311,0.488794,0.423035,0.540558,0.000000,0.000000,0.496912,0.078645,0.503097,0.374344,0.609772,0.000000,0.000007
0.457971,0.170937,0.488832,0.180923,0.813156,0.000001,0.000027,0.501094,0.380901,0.629429,0.000061,0.999939,0.000003,0.000153,0.586115,0.156265,0.606588,0.290695,0.913300,0.000000,0.000020,0.503044,0.024271,0.503629,0.444473,0.570053,0.000000,0.000000,0.506985,0.022629,0.507490,0.466156,0.570236,0.000000,0.000000,0.503700,0.067972,0.508266,0.378525,0.597672,0.000000,0.000005
0.503464,0.194386,0.539687,0.299957,0.898727,0.000001,0.000028,0.493953,0.385099,0.626332,0.000061,0.999939,0.000003,0.000127,0.514922,0.075139,0.520376,0.296143,0.650024,0.000000,0.000002,0.503970,0.015852,0.504219,0.472321,0.547012,0.000000,0.000000,0.501638,0.012814,0.501802,0.477341,0.526962,0.000000,0.000000,0.495859,0.068898,0.500623,0.394150,0.589737,0.000000,0.000004
0.457382,0.203510,0.500614,0.158401,0.917648,0.000001,0.000038,0.473415,0.386000,0.610834,0.000061,0.999939,0.000003,0.000153,0.586684,0.146825,0.604778,0.395538,0.941895,0.000000,0.000005,0.496958,0.024304,0.497552,0.451065,0.551819,0.000000,0.000000,0.492619,0.024768,0.493241,0.433975,0.547394,0.000000,0.000000,0.496715,0.069549,0.501561,0.390686,0.590546,0.000000,0.000005
