aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.499685,0.049007,0.502083,0.323303,0.560684,0.000042,0.000950,0.523151,0.039869,0.524668,0.382156,0.632660,0.000028,0.000444,0.628463,0.131225,0.642017,0.261566,0.861038,0.000300,0.007649,0.501070,0.006565,0.501113,0.477081,0.512955,0.000001,0.000017,0.508702,0.032578,0.509744,0.422775,0.548294,0.000018,0.000623,0.503057,0.011615,0.503191,0.478882,0.545593,0.000002,0.000042
0.507623,0.029914,0.508504,0.425064,0.559265,0.000016,0.000331,0.527053,0.035328,0.528236,0.427811,0.605759,0.000022,0.000316,0.596891,0.126794,0.610209,0.335007,0.820358,0.000280,0.009430,0.499551,0.007381,0.499606,0.473389,0.515335,0.000001,0.000014,0.496697,0.031599,0.497701,0.404282,0.534241,0.000017,0.000768,0.503769,0.012709,0.503929,0.491791,0.542923,0.000003,0.000065
0.508123,0.035094,0.509334,0.425873,0.565842,0.000021,0.001004,0.528809,0.025350,0.529417,0.470078,0.620590,0.000011,0.000167,0.602879,0.096775,0.610597,0.452286,0.842194,0.000163,0.007185,0.499148,0.004777,0.499171,0.484604,0.511398,0.000000,0.000007,0.503784,0.025560,0.504432,0.436813,0.535278,0.000011,0.000595,0.500978,0.010008,0.501078,0.487656,0.535110,0.000002,0.000060
0.517028,0.030787,0.517944,0.465195,0.562561,0.000016,0.000977,0.530119,0.014061,0.530306,0.499039,0.564911,0.000003,0.000093,0.588096,0.087507,0.594570,0.471237,0.771820,0.000133,0.007003,0.499124,0.005500,0.499154,0.478683,0.511856,0.000001,0.000015,0.506823,0.021623,0.507284,0.451874,0.534393,0.000008,0.000451,0.500573,0.007141,0.500624,0.487335,0.520325,0.000001,0.000036
0.509064,0.040429,0.510667,0.454422,0.600647,0.000028,0.001384,0.514927,0.016835,0.515202,0.480453,0.554703,0.000005,0.000168,0.606680,0.096381,0.614288,0.481033,0.781677,0.000162,0.007730,0.500697,0.006509,0.500739,0.487915,0.519699,0.000001,0.000010,0.508072,0.021311,0.508519,0.460022,0.542664,0.000008,0.000464,0.500303,0.007413,0.500358,0.486237,0.521545,0.000001,0.000027
0.517774,0.033557,0.518861,0.464737,0.583939,0.000020,0.001015,0.517513,0.015196,0.517736,0.477356,0.551636,0.000004,0.000129,0.621410,0.091983,0.628181,0.492203,0.784470,0.000147,0.006918,0.499976,0.006908,0.500023,0.490616,0.520218,0.000001,0.000025,0.506451,0.022764,0.506962,0.441849,0.548279,0.000009,0.000474,0.498992,0.005461,0.499022,0.489990,0.516556,0.000001,0.000022
0.510129,0.042211,0.511873,0.443069,0.594162,0.000031,0.001593,0.530686,0.035458,0.531869,0.477493,0.647964,0.000022,0.000304,0.609977,0.101628,0.618385,0.459579,0.764709,0.000180,0.009522,0.500671,0.007790,0.500731,0.488602,0.525482,0.000001,0.000032,0.506579,0.026908,0.507293,0.443893,0.542892,0.000013,0.000681,0.498832,0.010519,0.498943,0.480347,0.539093,0.000002,0.000047
0.460745,0.052247,0.463698,0.139603,0.576172,0.000048,0.000582,0.535511,0.047119,0.537580,0.302170,0.638153,0.000039,0.000443,0.642799,0.101485,0.650761,0.201935,0.821503,0.000179,0.003870,0.501210,0.013750,0.501399,0.460480,0.544220,0.000003,0.000041,0.500439,0.048341,0.502768,0.405609,0.705444,0.000041,0.000435,0.497926,0.017427,0.498231,0.407715,0.534149,0.000005,0.000050
0.508082,0.034806,0.509273,0.397552,0.550095,0.000021,0.000735,0.514405,0.030232,0.515293,0.454803,0.614273,0.000016,0.000253,0.611128,0.114211,0.621708,0.427567,0.840607,0.000227,0.009690,0.500325,0.006883,0.500373,0.483627,0.516876,0.000001,0.000014,0.500845,0.032753,0.501914,0.406647,0.535690,0.000019,0.000859,0.503434,0.012552,0.503591,0.486832,0.549408,0.000003,0.000081
0.512632,0.048124,0.514886,0.372696,0.596329,0.000040,0.000817,0.510243,0.038999,0.511731,0.404037,0.680145,0.000026,0.000271,0.583399,0.111308,0.593923,0.381073,0.827530,0.000216,0.008686,0.498919,0.006829,0.498966,0.486603,0.517685,0.000001,0.000019,0.506298,0.030622,0.507223,0.399429,0.552124,0.000016,0.000687,0.502604,0.014348,0.502809,0.486572,0.559967,0.000004,0.000059
